case_type,date,state,count
Active,"Saturday, 25 January, 2020",Johor,4
Recovered,"Saturday, 25 January, 2020",Johor,0
Deaths,"Saturday, 25 January, 2020",Johor,0
Active,"Saturday, 25 January, 2020",Kedah,0
Recovered,"Saturday, 25 January, 2020",Kedah,0
Deaths,"Saturday, 25 January, 2020",Kedah,0
Active,"Saturday, 25 January, 2020",Kelantan,0
Recovered,"Saturday, 25 January, 2020",Kelantan,0
Deaths,"Saturday, 25 January, 2020",Kelantan,0
Active,"Saturday, 25 January, 2020",Melaka,0
Recovered,"Saturday, 25 January, 2020",Melaka,0
Deaths,"Saturday, 25 January, 2020",Melaka,0
Active,"Saturday, 25 January, 2020",Negeri Sembilan,0
Recovered,"Saturday, 25 January, 2020",Negeri Sembilan,0
Deaths,"Saturday, 25 January, 2020",Negeri Sembilan,0
Active,"Saturday, 25 January, 2020",Pahang,0
Recovered,"Saturday, 25 January, 2020",Pahang,0
Deaths,"Saturday, 25 January, 2020",Pahang,0
Active,"Saturday, 25 January, 2020",Perak,0
Recovered,"Saturday, 25 January, 2020",Perak,0
Deaths,"Saturday, 25 January, 2020",Perak,0
Active,"Saturday, 25 January, 2020",Perlis,0
Recovered,"Saturday, 25 January, 2020",Perlis,0
Deaths,"Saturday, 25 January, 2020",Perlis,0
Active,"Saturday, 25 January, 2020",Pulau Pinang,0
Recovered,"Saturday, 25 January, 2020",Pulau Pinang,0
Deaths,"Saturday, 25 January, 2020",Pulau Pinang,0
Active,"Saturday, 25 January, 2020",Sabah,0
Recovered,"Saturday, 25 January, 2020",Sabah,0
Deaths,"Saturday, 25 January, 2020",Sabah,0
Active,"Saturday, 25 January, 2020",Sarawak,0
Recovered,"Saturday, 25 January, 2020",Sarawak,0
Deaths,"Saturday, 25 January, 2020",Sarawak,0
Active,"Saturday, 25 January, 2020",Selangor,0
Recovered,"Saturday, 25 January, 2020",Selangor,0
Deaths,"Saturday, 25 January, 2020",Selangor,0
Active,"Saturday, 25 January, 2020",Terengganu,0
Recovered,"Saturday, 25 January, 2020",Terengganu,0
Deaths,"Saturday, 25 January, 2020",Terengganu,0
Active,"Saturday, 25 January, 2020",W.P. Kuala Lumpur,0
Recovered,"Saturday, 25 January, 2020",W.P. Kuala Lumpur,0
Deaths,"Saturday, 25 January, 2020",W.P. Kuala Lumpur,0
Active,"Saturday, 25 January, 2020",W.P. Labuan,0
Recovered,"Saturday, 25 January, 2020",W.P. Labuan,0
Deaths,"Saturday, 25 January, 2020",W.P. Labuan,0
Active,"Saturday, 25 January, 2020",W.P. Putrajaya,0
Recovered,"Saturday, 25 January, 2020",W.P. Putrajaya,0
Deaths,"Saturday, 25 January, 2020",W.P. Putrajaya,0
Active,"Sunday, 26 January, 2020",Johor,4
Recovered,"Sunday, 26 January, 2020",Johor,0
Deaths,"Sunday, 26 January, 2020",Johor,0
Active,"Sunday, 26 January, 2020",Kedah,0
Recovered,"Sunday, 26 January, 2020",Kedah,0
Deaths,"Sunday, 26 January, 2020",Kedah,0
