date,cases_new,cases_recovered,cases_active
"Saturday, 25 January, 2020",4,0,4
"Sunday, 26 January, 2020",0,0,4
"Monday, 27 January, 2020",0,0,4
"Tuesday, 28 January, 2020",0,0,4
"Wednesday, 29 January, 2020",3,0,7
"Thursday, 30 January, 2020",1,0,8
"Friday, 31 January, 2020",0,0,8
"Saturday, 1 February, 2020",0,0,8
"Sunday, 2 February, 2020",0,0,8
"Monday, 3 February, 2020",0,0,8
"Tuesday, 4 February, 2020",2,0,10
"Wednesday, 5 February, 2020",2,1,11
"Thursday, 6 February, 2020",2,0,13
"Friday, 7 February, 2020",1,0,14
"Saturday, 8 February, 2020",1,1,14
"Sunday, 9 February, 2020",1,1,14
"Monday, 10 February, 2020",1,0,15
"Tuesday, 11 February, 2020",0,0,15
"Wednesday, 12 February, 2020",0,0,15
"Thursday, 13 February, 2020",0,0,15
"Friday, 14 February, 2020",1,4,12
"Saturday, 15 February, 2020",3,1,14
"Sunday, 16 February, 2020",0,0,14
"Monday, 17 February, 2020",0,3,11
"Tuesday, 18 February, 2020",0,2,9
"Wednesday, 19 February, 2020",0,4,5
"Thursday, 20 February, 2020",0,0,5
"Friday, 21 February, 2020",0,0,5
"Saturday, 22 February, 2020",0,1,4
"Sunday, 23 February, 2020",0,0,4
"Monday, 24 February, 2020",0,2,2
"Tuesday, 25 February, 2020",0,0,2
"Wednesday, 26 February, 2020",0,0,2
"Thursday, 27 February, 2020",1,2,1
"Friday, 28 February, 2020",2,0,3
"Saturday, 29 February, 2020",0,0,3
"Sunday, 1 March, 2020",4,0,7
"Monday, 2 March, 2020",0,0,7
"Tuesday, 3 March, 2020",7,0,14
"Wednesday, 4 March, 2020",14,1,27
"Thursday, 5 March, 2020",5,0,32
"Friday, 6 March, 2020",28,0,60
"Saturday, 7 March, 2020",10,1,69
"Sunday, 8 March, 2020",6,1,74
"Monday, 9 March, 2020",18,1,91
"Tuesday, 10 March, 2020",12,0,103
"Wednesday, 11 March, 2020",20,1,122
"Thursday, 12 March, 2020",9,6,125
"Friday, 13 March, 2020",39,0,164
"Saturday, 14 March, 2020",41,4,201
"Sunday, 15 March, 2020",190,5,386
"Monday, 16 March, 2020",125,0,511
"Tuesday, 17 March, 2020",120,7,622
"Wednesday, 18 March, 2020",117,11,728
"Thursday, 19 March, 2020",110,15,823
"Friday, 20 March, 2020",130,12,940
"Saturday, 21 March, 2020",153,27,1062
"Sunday, 22 March, 2020",123,25,1156
"Monday, 23 March, 2020",212,20,1343
"Tuesday, 24 March, 2020",106,24,1423
"Wednesday, 25 March, 2020",172,16,1576
"Thursday, 26 March, 2020",235,16,1790
"Friday, 27 March, 2020",130,44,1874
"Saturday, 28 March, 2020",159,61,1966
"Sunday, 29 March, 2020",150,68,2043
"Monday, 30 March, 2020",156,90,2105
"Tuesday, 31 March, 2020",140,58,2182
"Wednesday, 1 April, 2020",142,108,2214
"Thursday, 2 April, 2020",208,122,2298
"Friday, 3 April, 2020",217,60,2450
"Saturday, 4 April, 2020",150,88,2509
"Sunday, 5 April, 2020",179,90,2596
"Monday, 6 April, 2020",131,236,2489
"Tuesday, 7 April, 2020",170,80,2578
"Wednesday, 8 April, 2020",156,166,2567
"Thursday, 9 April, 2020",109,121,2553
"Friday, 10 April, 2020",118,222,2446
"Saturday, 11 April, 2020",184,165,2462
"Sunday, 12 April, 2020",153,113,2497
"Monday, 13 April, 2020",134,168,2462
"Tuesday, 14 April, 2020",170,202,2427
"Wednesday, 15 April, 2020",85,169,2341
"Thursday, 16 April, 2020",110,119,2330
"Friday, 17 April, 2020",69,201,2197
"Saturday, 18 April, 2020",54,135,2116
"Sunday, 19 April, 2020",84,95,2104
"Monday, 20 April, 2020",36,98,2041
"Tuesday, 21 April, 2020",57,54,2042
"Wednesday, 22 April, 2020",50,103,1987
"Thursday, 23 April, 2020",71,90,1967
"Friday, 24 April, 2020",88,121,1933
"Saturday, 25 April, 2020",51,99,1883
"Sunday, 26 April, 2020",38,100,1821
"Monday, 27 April, 2020",40,95,1765
"Tuesday, 28 April, 2020",31,75,1720
"Wednesday, 29 April, 2020",94,55,1758
"Thursday, 30 April, 2020",57,84,1729
"Friday, 1 May, 2020",69,39,1759
"Saturday, 2 May, 2020",105,116,1747
