date,case_type,count
"Saturday, 25 January, 2020",Active,4
"Saturday, 25 January, 2020",Recovered,0
"Saturday, 25 January, 2020",Deaths,0
"Sunday, 26 January, 2020",Active,4
"Sunday, 26 January, 2020",Recovered,0
"Sunday, 26 January, 2020",Deaths,0
"Monday, 27 January, 2020",Active,4
"Monday, 27 January, 2020",Recovered,0
"Monday, 27 January, 2020",Deaths,0
"Tuesday, 28 January, 2020",Active,4
"Tuesday, 28 January, 2020",Recovered,0
"Tuesday, 28 January, 2020",Deaths,0
"Wednesday, 29 January, 2020",Active,7
"Wednesday, 29 January, 2020",Recovered,0
"Wednesday, 29 January, 2020",Deaths,0
"Thursday, 30 January, 2020",Active,8
"Thursday, 30 January, 2020",Recovered,0
"Thursday, 30 January, 2020",Deaths,0
"Friday, 31 January, 2020",Active,8
"Friday, 31 January, 2020",Recovered,0
"Friday, 31 January, 2020",Deaths,0
"Saturday, 1 February, 2020",Active,8
"Saturday, 1 February, 2020",Recovered,0
"Saturday, 1 February, 2020",Deaths,0
"Sunday, 2 February, 2020",Active,8
"Sunday, 2 February, 2020",Recovered,0
"Sunday, 2 February, 2020",Deaths,0
"Monday, 3 February, 2020",Active,8
"Monday, 3 February, 2020",Recovered,0
"Monday, 3 February, 2020",Deaths,0
"Tuesday, 4 February, 2020",Active,10
"Tuesday, 4 February, 2020",Recovered,0
"Tuesday, 4 February, 2020",Deaths,0
"Wednesday, 5 February, 2020",Active,11
"Wednesday, 5 February, 2020",Recovered,1
"Wednesday, 5 February, 2020",Deaths,0
"Thursday, 6 February, 2020",Active,13
"Thursday, 6 February, 2020",Recovered,1
"Thursday, 6 February, 2020",Deaths,0
"Friday, 7 February, 2020",Active,14
"Friday, 7 February, 2020",Recovered,1
"Friday, 7 February, 2020",Deaths,0
"Saturday, 8 February, 2020",Active,14
"Saturday, 8 February, 2020",Recovered,2
"Saturday, 8 February, 2020",Deaths,0
"Sunday, 9 February, 2020",Active,14
"Sunday, 9 February, 2020",Recovered,3
"Sunday, 9 February, 2020",Deaths,0
"Monday, 10 February, 2020",Active,15
"Monday, 10 February, 2020",Recovered,3
