date,state,deaths_new
"Tuesday, 17 March, 2020",Johor,1
"Tuesday, 17 March, 2020",Kedah,0
"Tuesday, 17 March, 2020",Kelantan,0
"Tuesday, 17 March, 2020",Melaka,0
"Tuesday, 17 March, 2020",Negeri Sembilan,0
"Tuesday, 17 March, 2020",Pahang,0
"Tuesday, 17 March, 2020",Perak,0
"Tuesday, 17 March, 2020",Perlis,0
"Tuesday, 17 March, 2020",Pulau Pinang,0
"Tuesday, 17 March, 2020",Sabah,0
"Tuesday, 17 March, 2020",Sarawak,1
"Tuesday, 17 March, 2020",Selangor,0
"Tuesday, 17 March, 2020",Terengganu,0
"Tuesday, 17 March, 2020",W.P. Kuala Lumpur,0
"Tuesday, 17 March, 2020",W.P. Labuan,0
"Tuesday, 17 March, 2020",W.P. Putrajaya,0
"Wednesday, 18 March, 2020",Johor,0
"Wednesday, 18 March, 2020",Kedah,0
"Wednesday, 18 March, 2020",Kelantan,0
"Wednesday, 18 March, 2020",Melaka,0
"Wednesday, 18 March, 2020",Negeri Sembilan,0
"Wednesday, 18 March, 2020",Pahang,0
"Wednesday, 18 March, 2020",Perak,0
"Wednesday, 18 March, 2020",Perlis,0
"Wednesday, 18 March, 2020",Pulau Pinang,0
"Wednesday, 18 March, 2020",Sabah,0
"Wednesday, 18 March, 2020",Sarawak,0
"Wednesday, 18 March, 2020",Selangor,0
"Wednesday, 18 March, 2020",Terengganu,0
"Wednesday, 18 March, 2020",W.P. Kuala Lumpur,0
"Wednesday, 18 March, 2020",W.P. Labuan,0
"Wednesday, 18 March, 2020",W.P. Putrajaya,0
"Thursday, 19 March, 2020",Johor,0
"Thursday, 19 March, 2020",Kedah,0
"Thursday, 19 March, 2020",Kelantan,0
"Thursday, 19 March, 2020",Melaka,0
"Thursday, 19 March, 2020",Negeri Sembilan,0
"Thursday, 19 March, 2020",Pahang,0
"Thursday, 19 March, 2020",Perak,0
"Thursday, 19 March, 2020",Perlis,0
"Thursday, 19 March, 2020",Pulau Pinang,0
"Thursday, 19 March, 2020",Sabah,0
"Thursday, 19 March, 2020",Sarawak,0
"Thursday, 19 March, 2020",Selangor,0
"Thursday, 19 March, 2020",Terengganu,0
"Thursday, 19 March, 2020",W.P. Kuala Lumpur,0
"Thursday, 19 March, 2020",W.P. Labuan,0
"Thursday, 19 March, 2020",W.P. Putrajaya,0
"Friday, 20 March, 2020",Johor,0
"Friday, 20 March, 2020",Kedah,0
"Friday, 20 March, 2020",Kelantan,0
"Friday, 20 March, 2020",Melaka,0
"Friday, 20 March, 2020",Negeri Sembilan,0
"Friday, 20 March, 2020",Pahang,0
"Friday, 20 March, 2020",Perak,0
"Friday, 20 March, 2020",Perlis,0
"Friday, 20 March, 2020",Pulau Pinang,0
"Friday, 20 March, 2020",Sabah,1
"Friday, 20 March, 2020",Sarawak,0
"Friday, 20 March, 2020",Selangor,0
"Friday, 20 March, 2020",Terengganu,0
"Friday, 20 March, 2020",W.P. Kuala Lumpur,0
"Friday, 20 March, 2020",W.P. Labuan,0
"Friday, 20 March, 2020",W.P. Putrajaya,0
"Saturday, 21 March, 2020",Johor,0
"Saturday, 21 March, 2020",Kedah,0
"Saturday, 21 March, 2020",Kelantan,1
"Saturday, 21 March, 2020",Melaka,1
"Saturday, 21 March, 2020",Negeri Sembilan,0
"Saturday, 21 March, 2020",Pahang,0
"Saturday, 21 March, 2020",Perak,0
"Saturday, 21 March, 2020",Perlis,0
"Saturday, 21 March, 2020",Pulau Pinang,0
"Saturday, 21 March, 2020",Sabah,0
"Saturday, 21 March, 2020",Sarawak,1
"Saturday, 21 March, 2020",Selangor,0
"Saturday, 21 March, 2020",Terengganu,0
"Saturday, 21 March, 2020",W.P. Kuala Lumpur,1
"Saturday, 21 March, 2020",W.P. Labuan,0
"Saturday, 21 March, 2020",W.P. Putrajaya,0
"Sunday, 22 March, 2020",Johor,0
"Sunday, 22 March, 2020",Kedah,0
"Sunday, 22 March, 2020",Kelantan,0
"Sunday, 22 March, 2020",Melaka,0
"Sunday, 22 March, 2020",Negeri Sembilan,0
"Sunday, 22 March, 2020",Pahang,0
"Sunday, 22 March, 2020",Perak,0
"Sunday, 22 March, 2020",Perlis,1
"Sunday, 22 March, 2020",Pulau Pinang,1
"Sunday, 22 March, 2020",Sabah,0
"Sunday, 22 March, 2020",Sarawak,1
"Sunday, 22 March, 2020",Selangor,0
"Sunday, 22 March, 2020",Terengganu,0
"Sunday, 22 March, 2020",W.P. Kuala Lumpur,1
"Sunday, 22 March, 2020",W.P. Labuan,0
"Sunday, 22 March, 2020",W.P. Putrajaya,0
"Monday, 23 March, 2020",Johor,3
"Monday, 23 March, 2020",Kedah,0
"Monday, 23 March, 2020",Kelantan,0
"Monday, 23 March, 2020",Melaka,0
"Monday, 23 March, 2020",Negeri Sembilan,0
"Monday, 23 March, 2020",Pahang,0
"Monday, 23 March, 2020",Perak,0
"Monday, 23 March, 2020",Perlis,0
"Monday, 23 March, 2020",Pulau Pinang,0
"Monday, 23 March, 2020",Sabah,0
"Monday, 23 March, 2020",Sarawak,2
"Monday, 23 March, 2020",Selangor,0
"Monday, 23 March, 2020",Terengganu,0
"Monday, 23 March, 2020",W.P. Kuala Lumpur,0
"Monday, 23 March, 2020",W.P. Labuan,0
"Monday, 23 March, 2020",W.P. Putrajaya,0
"Tuesday, 24 March, 2020",Johor,0
"Tuesday, 24 March, 2020",Kedah,0
"Tuesday, 24 March, 2020",Kelantan,0
"Tuesday, 24 March, 2020",Melaka,1
"Tuesday, 24 March, 2020",Negeri Sembilan,0
"Tuesday, 24 March, 2020",Pahang,0
"Tuesday, 24 March, 2020",Perak,0
"Tuesday, 24 March, 2020",Perlis,0
"Tuesday, 24 March, 2020",Pulau Pinang,0
"Tuesday, 24 March, 2020",Sabah,0
"Tuesday, 24 March, 2020",Sarawak,0
"Tuesday, 24 March, 2020",Selangor,1
"Tuesday, 24 March, 2020",Terengganu,0
"Tuesday, 24 March, 2020",W.P. Kuala Lumpur,0
"Tuesday, 24 March, 2020",W.P. Labuan,0
"Tuesday, 24 March, 2020",W.P. Putrajaya,0
"Wednesday, 25 March, 2020",Johor,2
"Wednesday, 25 March, 2020",Kedah,0
"Wednesday, 25 March, 2020",Kelantan,0
"Wednesday, 25 March, 2020",Melaka,0
"Wednesday, 25 March, 2020",Negeri Sembilan,0
"Wednesday, 25 March, 2020",Pahang,0
"Wednesday, 25 March, 2020",Perak,1
"Wednesday, 25 March, 2020",Perlis,0
"Wednesday, 25 March, 2020",Pulau Pinang,0
"Wednesday, 25 March, 2020",Sabah,0
"Wednesday, 25 March, 2020",Sarawak,0
"Wednesday, 25 March, 2020",Selangor,0
"Wednesday, 25 March, 2020",Terengganu,0
"Wednesday, 25 March, 2020",W.P. Kuala Lumpur,0
"Wednesday, 25 March, 2020",W.P. Labuan,0
"Wednesday, 25 March, 2020",W.P. Putrajaya,0
"Thursday, 26 March, 2020",Johor,1
"Thursday, 26 March, 2020",Kedah,1
"Thursday, 26 March, 2020",Kelantan,1
"Thursday, 26 March, 2020",Melaka,0
"Thursday, 26 March, 2020",Negeri Sembilan,0
"Thursday, 26 March, 2020",Pahang,0
"Thursday, 26 March, 2020",Perak,1
"Thursday, 26 March, 2020",Perlis,0
"Thursday, 26 March, 2020",Pulau Pinang,0
"Thursday, 26 March, 2020",Sabah,0
"Thursday, 26 March, 2020",Sarawak,0
"Thursday, 26 March, 2020",Selangor,0
"Thursday, 26 March, 2020",Terengganu,0
"Thursday, 26 March, 2020",W.P. Kuala Lumpur,1
"Thursday, 26 March, 2020",W.P. Labuan,0
"Thursday, 26 March, 2020",W.P. Putrajaya,0
"Friday, 27 March, 2020",Johor,0
"Friday, 27 March, 2020",Kedah,0
"Friday, 27 March, 2020",Kelantan,0
"Friday, 27 March, 2020",Melaka,0
"Friday, 27 March, 2020",Negeri Sembilan,0
"Friday, 27 March, 2020",Pahang,0
"Friday, 27 March, 2020",Perak,0
"Friday, 27 March, 2020",Perlis,0
"Friday, 27 March, 2020",Pulau Pinang,0
"Friday, 27 March, 2020",Sabah,0
"Friday, 27 March, 2020",Sarawak,0
"Friday, 27 March, 2020",Selangor,1
"Friday, 27 March, 2020",Terengganu,0
"Friday, 27 March, 2020",W.P. Kuala Lumpur,0
"Friday, 27 March, 2020",W.P. Labuan,0
"Friday, 27 March, 2020",W.P. Putrajaya,1
"Saturday, 28 March, 2020",Johor,2
"Saturday, 28 March, 2020",Kedah,0
"Saturday, 28 March, 2020",Kelantan,0
"Saturday, 28 March, 2020",Melaka,0
"Saturday, 28 March, 2020",Negeri Sembilan,1
"Saturday, 28 March, 2020",Pahang,0
"Saturday, 28 March, 2020",Perak,1
"Saturday, 28 March, 2020",Perlis,0
"Saturday, 28 March, 2020",Pulau Pinang,0
"Saturday, 28 March, 2020",Sabah,0
"Saturday, 28 March, 2020",Sarawak,0
"Saturday, 28 March, 2020",Selangor,1
"Saturday, 28 March, 2020",Terengganu,0
"Saturday, 28 March, 2020",W.P. Kuala Lumpur,1
"Saturday, 28 March, 2020",W.P. Labuan,0
"Saturday, 28 March, 2020",W.P. Putrajaya,0
"Sunday, 29 March, 2020",Johor,2
"Sunday, 29 March, 2020",Kedah,0
"Sunday, 29 March, 2020",Kelantan,0
"Sunday, 29 March, 2020",Melaka,0
"Sunday, 29 March, 2020",Negeri Sembilan,0
"Sunday, 29 March, 2020",Pahang,0
"Sunday, 29 March, 2020",Perak,0
"Sunday, 29 March, 2020",Perlis,0
"Sunday, 29 March, 2020",Pulau Pinang,0
"Sunday, 29 March, 2020",Sabah,0
"Sunday, 29 March, 2020",Sarawak,0
"Sunday, 29 March, 2020",Selangor,2
"Sunday, 29 March, 2020",Terengganu,0
"Sunday, 29 March, 2020",W.P. Kuala Lumpur,1
"Sunday, 29 March, 2020",W.P. Labuan,0
"Sunday, 29 March, 2020",W.P. Putrajaya,0
"Monday, 30 March, 2020",Johor,0
"Monday, 30 March, 2020",Kedah,0
"Monday, 30 March, 2020",Kelantan,0
"Monday, 30 March, 2020",Melaka,0
"Monday, 30 March, 2020",Negeri Sembilan,1
"Monday, 30 March, 2020",Pahang,0
"Monday, 30 March, 2020",Perak,0
"Monday, 30 March, 2020",Perlis,0
"Monday, 30 March, 2020",Pulau Pinang,0
"Monday, 30 March, 2020",Sabah,0
"Monday, 30 March, 2020",Sarawak,2
"Monday, 30 March, 2020",Selangor,1
"Monday, 30 March, 2020",Terengganu,0
"Monday, 30 March, 2020",W.P. Kuala Lumpur,0
"Monday, 30 March, 2020",W.P. Labuan,0
"Monday, 30 March, 2020",W.P. Putrajaya,0
"Tuesday, 31 March, 2020",Johor,1
"Tuesday, 31 March, 2020",Kedah,0
"Tuesday, 31 March, 2020",Kelantan,0
"Tuesday, 31 March, 2020",Melaka,0
"Tuesday, 31 March, 2020",Negeri Sembilan,0
"Tuesday, 31 March, 2020",Pahang,0
"Tuesday, 31 March, 2020",Perak,0
"Tuesday, 31 March, 2020",Perlis,0
"Tuesday, 31 March, 2020",Pulau Pinang,0
"Tuesday, 31 March, 2020",Sabah,0
"Tuesday, 31 March, 2020",Sarawak,1
"Tuesday, 31 March, 2020",Selangor,1
"Tuesday, 31 March, 2020",Terengganu,0
"Tuesday, 31 March, 2020",W.P. Kuala Lumpur,2
"Tuesday, 31 March, 2020",W.P. Labuan,0
"Tuesday, 31 March, 2020",W.P. Putrajaya,0
"Wednesday, 1 April, 2020",Johor,0
"Wednesday, 1 April, 2020",Kedah,0
"Wednesday, 1 April, 2020",Kelantan,0
"Wednesday, 1 April, 2020",Melaka,0
"Wednesday, 1 April, 2020",Negeri Sembilan,0
"Wednesday, 1 April, 2020",Pahang,0
"Wednesday, 1 April, 2020",Perak,0
"Wednesday, 1 April, 2020",Perlis,0
"Wednesday, 1 April, 2020",Pulau Pinang,0
"Wednesday, 1 April, 2020",Sabah,0
"Wednesday, 1 April, 2020",Sarawak,1
"Wednesday, 1 April, 2020",Selangor,1
"Wednesday, 1 April, 2020",Terengganu,0
"Wednesday, 1 April, 2020",W.P. Kuala Lumpur,0
"Wednesday, 1 April, 2020",W.P. Labuan,0
"Wednesday, 1 April, 2020",W.P. Putrajaya,0
"Thursday, 2 April, 2020",Johor,1
"Thursday, 2 April, 2020",Kedah,0
"Thursday, 2 April, 2020",Kelantan,0
"Thursday, 2 April, 2020",Melaka,0
"Thursday, 2 April, 2020",Negeri Sembilan,1
"Thursday, 2 April, 2020",Pahang,0
"Thursday, 2 April, 2020",Perak,0
"Thursday, 2 April, 2020",Perlis,0
"Thursday, 2 April, 2020",Pulau Pinang,0
"Thursday, 2 April, 2020",Sabah,0
"Thursday, 2 April, 2020",Sarawak,0
"Thursday, 2 April, 2020",Selangor,0
"Thursday, 2 April, 2020",Terengganu,0
"Thursday, 2 April, 2020",W.P. Kuala Lumpur,0
"Thursday, 2 April, 2020",W.P. Labuan,0
"Thursday, 2 April, 2020",W.P. Putrajaya,0
"Friday, 3 April, 2020",Johor,0
"Friday, 3 April, 2020",Kedah,0
"Friday, 3 April, 2020",Kelantan,1
"Friday, 3 April, 2020",Melaka,0
"Friday, 3 April, 2020",Negeri Sembilan,1
"Friday, 3 April, 2020",Pahang,1
"Friday, 3 April, 2020",Perak,1
"Friday, 3 April, 2020",Perlis,0
"Friday, 3 April, 2020",Pulau Pinang,0
"Friday, 3 April, 2020",Sabah,0
"Friday, 3 April, 2020",Sarawak,1
"Friday, 3 April, 2020",Selangor,0
"Friday, 3 April, 2020",Terengganu,0
"Friday, 3 April, 2020",W.P. Kuala Lumpur,0
"Friday, 3 April, 2020",W.P. Labuan,0
"Friday, 3 April, 2020",W.P. Putrajaya,0
"Saturday, 4 April, 2020",Johor,0
"Saturday, 4 April, 2020",Kedah,0
"Saturday, 4 April, 2020",Kelantan,0
"Saturday, 4 April, 2020",Melaka,0
"Saturday, 4 April, 2020",Negeri Sembilan,0
"Saturday, 4 April, 2020",Pahang,0
"Saturday, 4 April, 2020",Perak,0
"Saturday, 4 April, 2020",Perlis,0
"Saturday, 4 April, 2020",Pulau Pinang,0
"Saturday, 4 April, 2020",Sabah,1
"Saturday, 4 April, 2020",Sarawak,1
"Saturday, 4 April, 2020",Selangor,0
"Saturday, 4 April, 2020",Terengganu,0
"Saturday, 4 April, 2020",W.P. Kuala Lumpur,1
"Saturday, 4 April, 2020",W.P. Labuan,0
"Saturday, 4 April, 2020",W.P. Putrajaya,0
"Sunday, 5 April, 2020",Johor,0
"Sunday, 5 April, 2020",Kedah,0
"Sunday, 5 April, 2020",Kelantan,0
"Sunday, 5 April, 2020",Melaka,0
"Sunday, 5 April, 2020",Negeri Sembilan,0
"Sunday, 5 April, 2020",Pahang,0
"Sunday, 5 April, 2020",Perak,0
"Sunday, 5 April, 2020",Perlis,0
