case_type,row,col
Deaths,1,-9
Others,1,-8
Others,1,-7
Others,1,-6
Others,1,-5
Others,1,-4
Others,1,-3
Others,1,-2
Others,1,-1
Others,1,0
Others,2,-9
Others,2,-8
Others,2,-7
Others,2,-6
Others,2,-5
Others,2,-4
Others,2,-3
Others,2,-2
Others,2,-1
Others,2,0
Others,3,-9
Others,3,-8
Others,3,-7
Others,3,-6
Others,3,-5
Others,3,-4
Others,3,-3
Others,3,-2
Others,3,-1
Others,3,0
Others,4,-9
Others,4,-8
Others,4,-7
Others,4,-6
Others,4,-5
Others,4,-4
Others,4,-3
Others,4,-2
Others,4,-1
Others,4,0
Others,5,-9
Others,5,-8
Others,5,-7
Others,5,-6
Others,5,-5
Others,5,-4
Others,5,-3
Others,5,-2
Others,5,-1
Others,5,0
Others,6,-9
Others,6,-8
Others,6,-7
Others,6,-6
Others,6,-5
Others,6,-4
Others,6,-3
Others,6,-2
Others,6,-1
Others,6,0
Others,7,-9
Others,7,-8
Others,7,-7
Others,7,-6
Others,7,-5
Others,7,-4
Others,7,-3
Others,7,-2
Others,7,-1
Others,7,0
Others,8,-9
Others,8,-8
Others,8,-7
Others,8,-6
Others,8,-5
Others,8,-4
Others,8,-3
Others,8,-2
Others,8,-1
Others,8,0
Others,9,-9
Others,9,-8
Others,9,-7
Others,9,-6
Others,9,-5
Others,9,-4
Others,9,-3
Others,9,-2
Others,9,-1
Others,9,0
Others,10,-9
Others,10,-8
Others,10,-7
Others,10,-6
Others,10,-5
Others,10,-4
Others,10,-3
Others,10,-2
Others,10,-1
Others,10,0
