date,vax_brand,count
"Wednesday, 24 February, 2021",AstraZeneca,0
"Wednesday, 24 February, 2021",Cansino,0
"Wednesday, 24 February, 2021",Pfizer,66
"Wednesday, 24 February, 2021",Sinopharm,0
"Wednesday, 24 February, 2021",Sinovac,2
"Thursday, 25 February, 2021",AstraZeneca,0
"Thursday, 25 February, 2021",Cansino,0
"Thursday, 25 February, 2021",Pfizer,1147
"Thursday, 25 February, 2021",Sinopharm,0
"Thursday, 25 February, 2021",Sinovac,2
"Friday, 26 February, 2021",AstraZeneca,1
"Friday, 26 February, 2021",Cansino,0
"Friday, 26 February, 2021",Pfizer,4102
"Friday, 26 February, 2021",Sinopharm,0
"Friday, 26 February, 2021",Sinovac,2
"Saturday, 27 February, 2021",AstraZeneca,0
"Saturday, 27 February, 2021",Cansino,0
"Saturday, 27 February, 2021",Pfizer,6700
"Saturday, 27 February, 2021",Sinopharm,0
"Saturday, 27 February, 2021",Sinovac,6
"Sunday, 28 February, 2021",AstraZeneca,0
"Sunday, 28 February, 2021",Cansino,0
"Sunday, 28 February, 2021",Pfizer,6717
"Sunday, 28 February, 2021",Sinopharm,0
"Sunday, 28 February, 2021",Sinovac,4
"Monday, 1 March, 2021",AstraZeneca,0
"Monday, 1 March, 2021",Cansino,0
"Monday, 1 March, 2021",Pfizer,15395
"Monday, 1 March, 2021",Sinopharm,0
"Monday, 1 March, 2021",Sinovac,2
"Tuesday, 2 March, 2021",AstraZeneca,0
"Tuesday, 2 March, 2021",Cansino,0
"Tuesday, 2 March, 2021",Pfizer,21672
"Tuesday, 2 March, 2021",Sinopharm,0
"Tuesday, 2 March, 2021",Sinovac,2
"Wednesday, 3 March, 2021",AstraZeneca,0
"Wednesday, 3 March, 2021",Cansino,0
"Wednesday, 3 March, 2021",Pfizer,22683
"Wednesday, 3 March, 2021",Sinopharm,0
"Wednesday, 3 March, 2021",Sinovac,4
"Thursday, 4 March, 2021",AstraZeneca,0
"Thursday, 4 March, 2021",Cansino,0
"Thursday, 4 March, 2021",Pfizer,19512
"Thursday, 4 March, 2021",Sinopharm,0
"Thursday, 4 March, 2021",Sinovac,7
"Friday, 5 March, 2021",AstraZeneca,0
"Friday, 5 March, 2021",Cansino,0
"Friday, 5 March, 2021",Pfizer,14371
"Friday, 5 March, 2021",Sinopharm,0
"Friday, 5 March, 2021",Sinovac,4
"Saturday, 6 March, 2021",AstraZeneca,0
"Saturday, 6 March, 2021",Cansino,0
"Saturday, 6 March, 2021",Pfizer,15603
"Saturday, 6 March, 2021",Sinopharm,0
"Saturday, 6 March, 2021",Sinovac,204
"Sunday, 7 March, 2021",AstraZeneca,0
"Sunday, 7 March, 2021",Cansino,0
"Sunday, 7 March, 2021",Pfizer,12593
"Sunday, 7 March, 2021",Sinopharm,0
"Sunday, 7 March, 2021",Sinovac,5
"Monday, 8 March, 2021",AstraZeneca,0
"Monday, 8 March, 2021",Cansino,0
"Monday, 8 March, 2021",Pfizer,27195
"Monday, 8 March, 2021",Sinopharm,0
"Monday, 8 March, 2021",Sinovac,17
"Tuesday, 9 March, 2021",AstraZeneca,0
"Tuesday, 9 March, 2021",Cansino,0
"Tuesday, 9 March, 2021",Pfizer,30043
"Tuesday, 9 March, 2021",Sinopharm,0
"Tuesday, 9 March, 2021",Sinovac,85
"Wednesday, 10 March, 2021",AstraZeneca,1
"Wednesday, 10 March, 2021",Cansino,0
"Wednesday, 10 March, 2021",Pfizer,28774
"Wednesday, 10 March, 2021",Sinopharm,0
"Wednesday, 10 March, 2021",Sinovac,5
"Thursday, 11 March, 2021",AstraZeneca,0
"Thursday, 11 March, 2021",Cansino,4
"Thursday, 11 March, 2021",Pfizer,26512
"Thursday, 11 March, 2021",Sinopharm,0
"Thursday, 11 March, 2021",Sinovac,5
"Friday, 12 March, 2021",AstraZeneca,0
"Friday, 12 March, 2021",Cansino,0
"Friday, 12 March, 2021",Pfizer,26124
"Friday, 12 March, 2021",Sinopharm,0
"Friday, 12 March, 2021",Sinovac,6
"Saturday, 13 March, 2021",AstraZeneca,0
"Saturday, 13 March, 2021",Cansino,0
"Saturday, 13 March, 2021",Pfizer,17055
"Saturday, 13 March, 2021",Sinopharm,0
"Saturday, 13 March, 2021",Sinovac,2
"Sunday, 14 March, 2021",AstraZeneca,0
"Sunday, 14 March, 2021",Cansino,0
"Sunday, 14 March, 2021",Pfizer,10312
"Sunday, 14 March, 2021",Sinopharm,0
"Sunday, 14 March, 2021",Sinovac,4
"Monday, 15 March, 2021",AstraZeneca,0
"Monday, 15 March, 2021",Cansino,0
"Monday, 15 March, 2021",Pfizer,20182
"Monday, 15 March, 2021",Sinopharm,0
"Monday, 15 March, 2021",Sinovac,2
"Tuesday, 16 March, 2021",AstraZeneca,0
"Tuesday, 16 March, 2021",Cansino,1
"Tuesday, 16 March, 2021",Pfizer,25362
"Tuesday, 16 March, 2021",Sinopharm,0
"Tuesday, 16 March, 2021",Sinovac,3
"Wednesday, 17 March, 2021",AstraZeneca,0
"Wednesday, 17 March, 2021",Cansino,0
"Wednesday, 17 March, 2021",Pfizer,20858
"Wednesday, 17 March, 2021",Sinopharm,0
"Wednesday, 17 March, 2021",Sinovac,5
"Thursday, 18 March, 2021",AstraZeneca,0
"Thursday, 18 March, 2021",Cansino,0
"Thursday, 18 March, 2021",Pfizer,18097
"Thursday, 18 March, 2021",Sinopharm,0
"Thursday, 18 March, 2021",Sinovac,14
"Friday, 19 March, 2021",AstraZeneca,0
"Friday, 19 March, 2021",Cansino,0
"Friday, 19 March, 2021",Pfizer,14576
"Friday, 19 March, 2021",Sinopharm,0
"Friday, 19 March, 2021",Sinovac,2
"Saturday, 20 March, 2021",AstraZeneca,0
"Saturday, 20 March, 2021",Cansino,0
"Saturday, 20 March, 2021",Pfizer,13810
"Saturday, 20 March, 2021",Sinopharm,0
"Saturday, 20 March, 2021",Sinovac,2
"Sunday, 21 March, 2021",AstraZeneca,0
"Sunday, 21 March, 2021",Cansino,0
"Sunday, 21 March, 2021",Pfizer,15558
"Sunday, 21 March, 2021",Sinopharm,0
"Sunday, 21 March, 2021",Sinovac,3
"Monday, 22 March, 2021",AstraZeneca,0
"Monday, 22 March, 2021",Cansino,0
"Monday, 22 March, 2021",Pfizer,24289
"Monday, 22 March, 2021",Sinopharm,0
"Monday, 22 March, 2021",Sinovac,3
"Tuesday, 23 March, 2021",AstraZeneca,0
"Tuesday, 23 March, 2021",Cansino,0
"Tuesday, 23 March, 2021",Pfizer,29160
"Tuesday, 23 March, 2021",Sinopharm,0
"Tuesday, 23 March, 2021",Sinovac,3
"Wednesday, 24 March, 2021",AstraZeneca,0
"Wednesday, 24 March, 2021",Cansino,0
"Wednesday, 24 March, 2021",Pfizer,29116
"Wednesday, 24 March, 2021",Sinopharm,0
"Wednesday, 24 March, 2021",Sinovac,2
"Thursday, 25 March, 2021",AstraZeneca,0
"Thursday, 25 March, 2021",Cansino,0
"Thursday, 25 March, 2021",Pfizer,25714
"Thursday, 25 March, 2021",Sinopharm,0
"Thursday, 25 March, 2021",Sinovac,83
"Friday, 26 March, 2021",AstraZeneca,0
"Friday, 26 March, 2021",Cansino,0
"Friday, 26 March, 2021",Pfizer,16566
"Friday, 26 March, 2021",Sinopharm,0
"Friday, 26 March, 2021",Sinovac,172
"Saturday, 27 March, 2021",AstraZeneca,0
"Saturday, 27 March, 2021",Cansino,0
"Saturday, 27 March, 2021",Pfizer,15667
"Saturday, 27 March, 2021",Sinopharm,0
"Saturday, 27 March, 2021",Sinovac,481
"Sunday, 28 March, 2021",AstraZeneca,0
"Sunday, 28 March, 2021",Cansino,0
"Sunday, 28 March, 2021",Pfizer,16330
"Sunday, 28 March, 2021",Sinopharm,0
"Sunday, 28 March, 2021",Sinovac,276
"Monday, 29 March, 2021",AstraZeneca,0
"Monday, 29 March, 2021",Cansino,0
"Monday, 29 March, 2021",Pfizer,33672
"Monday, 29 March, 2021",Sinopharm,0
"Monday, 29 March, 2021",Sinovac,1556
"Tuesday, 30 March, 2021",AstraZeneca,0
"Tuesday, 30 March, 2021",Cansino,0
"Tuesday, 30 March, 2021",Pfizer,38786
"Tuesday, 30 March, 2021",Sinopharm,0
"Tuesday, 30 March, 2021",Sinovac,2160
"Wednesday, 31 March, 2021",AstraZeneca,0
"Wednesday, 31 March, 2021",Cansino,0
"Wednesday, 31 March, 2021",Pfizer,34102
"Wednesday, 31 March, 2021",Sinopharm,0
"Wednesday, 31 March, 2021",Sinovac,3344
"Thursday, 1 April, 2021",AstraZeneca,0
"Thursday, 1 April, 2021",Cansino,0
"Thursday, 1 April, 2021",Pfizer,37739
"Thursday, 1 April, 2021",Sinopharm,0
"Thursday, 1 April, 2021",Sinovac,4701
"Friday, 2 April, 2021",AstraZeneca,0
"Friday, 2 April, 2021",Cansino,0
"Friday, 2 April, 2021",Pfizer,26822
"Friday, 2 April, 2021",Sinopharm,0
"Friday, 2 April, 2021",Sinovac,3655
"Saturday, 3 April, 2021",AstraZeneca,0
"Saturday, 3 April, 2021",Cansino,0
"Saturday, 3 April, 2021",Pfizer,16265
"Saturday, 3 April, 2021",Sinopharm,0
"Saturday, 3 April, 2021",Sinovac,1146
"Sunday, 4 April, 2021",AstraZeneca,0
"Sunday, 4 April, 2021",Cansino,0
"Sunday, 4 April, 2021",Pfizer,12322
"Sunday, 4 April, 2021",Sinopharm,0
"Sunday, 4 April, 2021",Sinovac,2813
"Monday, 5 April, 2021",AstraZeneca,0
"Monday, 5 April, 2021",Cansino,0
"Monday, 5 April, 2021",Pfizer,23512
"Monday, 5 April, 2021",Sinopharm,0
"Monday, 5 April, 2021",Sinovac,4985
"Tuesday, 6 April, 2021",AstraZeneca,0
