date_raw,vax_type,count,percentage,date_full,date,month,year
24/2/2021,Dose 1,66,0.0002021,"Wednesday, 24 February, 2021",24,2,2021
24/2/2021,Dose 2,3,9.19E-06,"Wednesday, 24 February, 2021",24,2,2021
24/2/2021,Booster 1,0,0,"Wednesday, 24 February, 2021",24,2,2021
24/2/2021,Booster 2,0,0,"Wednesday, 24 February, 2021",24,2,2021
25/2/2021,Dose 1,1216,0.003723539,"Thursday, 25 February, 2021",25,2,2021
25/2/2021,Dose 2,5,1.53E-05,"Thursday, 25 February, 2021",25,2,2021
25/2/2021,Booster 1,0,0,"Thursday, 25 February, 2021",25,2,2021
25/2/2021,Booster 2,0,0,"Thursday, 25 February, 2021",25,2,2021
26/2/2021,Dose 1,5325,0.016305796,"Friday, 26 February, 2021",26,2,2021
26/2/2021,Dose 2,8,2.45E-05,"Friday, 26 February, 2021",26,2,2021
26/2/2021,Booster 1,0,0,"Friday, 26 February, 2021",26,2,2021
26/2/2021,Booster 2,0,0,"Friday, 26 February, 2021",26,2,2021
27/2/2021,Dose 1,12046,0.036886313,"Saturday, 27 February, 2021",27,2,2021
27/2/2021,Dose 2,14,4.29E-05,"Saturday, 27 February, 2021",27,2,2021
27/2/2021,Booster 1,0,0,"Saturday, 27 February, 2021",27,2,2021
27/2/2021,Booster 2,0,0,"Saturday, 27 February, 2021",27,2,2021
28/2/2021,Dose 1,18765,0.057460705,"Sunday, 28 February, 2021",28,2,2021
28/2/2021,Dose 2,20,6.12E-05,"Sunday, 28 February, 2021",28,2,2021
28/2/2021,Booster 1,0,0,"Sunday, 28 February, 2021",28,2,2021
28/2/2021,Booster 2,0,0,"Sunday, 28 February, 2021",28,2,2021
1/3/2021,Dose 1,34162,0.104608186,"Monday, 1 March, 2021",1,3,2021
1/3/2021,Dose 2,26,7.96E-05,"Monday, 1 March, 2021",1,3,2021
1/3/2021,Booster 1,0,0,"Monday, 1 March, 2021",1,3,2021
1/3/2021,Booster 2,0,0,"Monday, 1 March, 2021",1,3,2021
2/3/2021,Dose 1,55832,0.170964354,"Tuesday, 2 March, 2021",2,3,2021
2/3/2021,Dose 2,30,9.19E-05,"Tuesday, 2 March, 2021",2,3,2021
2/3/2021,Booster 1,0,0,"Tuesday, 2 March, 2021",2,3,2021
2/3/2021,Booster 2,0,0,"Tuesday, 2 March, 2021",2,3,2021
3/3/2021,Dose 1,78518,0.240431637,"Wednesday, 3 March, 2021",3,3,2021
3/3/2021,Dose 2,36,0.000110236,"Wednesday, 3 March, 2021",3,3,2021
3/3/2021,Booster 1,0,0,"Wednesday, 3 March, 2021",3,3,2021
3/3/2021,Booster 2,0,0,"Wednesday, 3 March, 2021",3,3,2021
4/3/2021,Dose 1,98027,0.30017056,"Thursday, 4 March, 2021",4,3,2021
4/3/2021,Dose 2,53,0.000162292,"Thursday, 4 March, 2021",4,3,2021
4/3/2021,Booster 1,0,0,"Thursday, 4 March, 2021",4,3,2021
4/3/2021,Booster 2,0,0,"Thursday, 4 March, 2021",4,3,2021
5/3/2021,Dose 1,112399,0.344179367,"Friday, 5 March, 2021",5,3,2021
5/3/2021,Dose 2,59,0.000180665,"Friday, 5 March, 2021",5,3,2021
5/3/2021,Booster 1,0,0,"Friday, 5 March, 2021",5,3,2021
5/3/2021,Booster 2,0,0,"Friday, 5 March, 2021",5,3,2021
6/3/2021,Dose 1,128245,0.39270174,"Saturday, 6 March, 2021",6,3,2021
6/3/2021,Dose 2,63,0.000192914,"Saturday, 6 March, 2021",6,3,2021
6/3/2021,Booster 1,0,0,"Saturday, 6 March, 2021",6,3,2021
6/3/2021,Booster 2,0,0,"Saturday, 6 March, 2021",6,3,2021
7/3/2021,Dose 1,140848,0.431293654,"Sunday, 7 March, 2021",7,3,2021
7/3/2021,Dose 2,70,0.000214348,"Sunday, 7 March, 2021",7,3,2021
7/3/2021,Booster 1,0,0,"Sunday, 7 March, 2021",7,3,2021
7/3/2021,Booster 2,0,0,"Sunday, 7 March, 2021",7,3,2021
8/3/2021,Dose 1,168045,0.514574166,"Monday, 8 March, 2021",8,3,2021
8/3/2021,Dose 2,87,0.000266405,"Monday, 8 March, 2021",8,3,2021
