date,cumul_partial,cumul_full,cumul_booster,cumul_booster2
24/2/2021,66,3,0,0
25/2/2021,1216,5,0,0
26/2/2021,5325,8,0,0
27/2/2021,12046,14,0,0
28/2/2021,18765,20,0,0
1/3/2021,34162,26,0,0
2/3/2021,55832,30,0,0
3/3/2021,78518,36,0,0
4/3/2021,98027,53,0,0
5/3/2021,112399,59,0,0
6/3/2021,128245,63,0,0
7/3/2021,140848,70,0,0
8/3/2021,168045,87,0,0
9/3/2021,198113,150,0,0
10/3/2021,226885,162,0,0
11/3/2021,253399,174,0,0
12/3/2021,279521,184,0,0
13/3/2021,296582,187,0,0
14/3/2021,306893,192,0,0
15/3/2021,327285,195,0,0
16/3/2021,352760,202,0,0
17/3/2021,373557,269,0,0
18/3/2021,390872,1067,0,0
19/3/2021,401614,4903,0,0
20/3/2021,409315,11017,0,0
21/3/2021,419030,16872,0,0
22/3/2021,428748,31449,0,0
23/3/2021,437051,52314,0,0
24/3/2021,443342,75145,0,0
25/3/2021,449778,94514,0,0
26/3/2021,453717,107331,0,0
27/3/2021,455420,121780,0,0
28/3/2021,459104,134719,0,0
29/3/2021,466969,162094,0,0
30/3/2021,478499,191517,0,0
31/3/2021,488447,219040,0,0
1/4/2021,504358,245602,0,0
2/4/2021,511929,268512,0,0
3/4/2021,514605,283264,0,0
4/4/2021,520636,292437,0,0
5/4/2021,529841,311936,0,0
6/4/2021,540871,333630,0,0
7/4/2021,553596,351958,0,0
8/4/2021,565691,366769,0,0
9/4/2021,572919,381165,0,0
10/4/2021,578593,391239,0,0
11/4/2021,591070,401959,0,0
12/4/2021,616442,415920,0,0
13/4/2021,633254,423621,0,0
14/4/2021,654198,431373,0,0
15/4/2021,672301,440543,0,0
16/4/2021,687927,444470,0,0
17/4/2021,696504,445584,0,0
18/4/2021,702667,449352,0,0
19/4/2021,727340,457848,0,0
20/4/2021,749425,469145,0,0
21/4/2021,765268,481031,0,0
22/4/2021,779665,496221,0,0
23/4/2021,791887,502922,0,0
24/4/2021,799878,506406,0,0
25/4/2021,808993,512146,0,0
26/4/2021,830366,521092,0,0
27/4/2021,853192,532992,0,0
28/4/2021,879666,546260,0,0
29/4/2021,886138,552329,0,0
30/4/2021,903937,561244,0,0
1/5/2021,906869,563819,0,0
2/5/2021,914529,571943,0,0
3/5/2021,939072,598694,0,0
4/5/2021,969215,618395,0,0
5/5/2021,1001360,641309,0,0
6/5/2021,1038464,660098,0,0
7/5/2021,1070834,675592,0,0
8/5/2021,1089559,684041,0,0
9/5/2021,1115495,690647,0,0
10/5/2021,1152248,715529,0,0
11/5/2021,1182805,733988,0,0
12/5/2021,1193157,741819,0,0
13/5/2021,1193270,741830,0,0
14/5/2021,1193331,741839,0,0
15/5/2021,1203732,742443,0,0
16/5/2021,1213780,742777,0,0
17/5/2021,1246308,770994,0,0
18/5/2021,1292194,803410,0,0
19/5/2021,1342468,837571,0,0
20/5/2021,1401827,859587,0,0
21/5/2021,1444126,878503,0,0
22/5/2021,1487504,881873,0,0
23/5/2021,1525579,890309,0,0
24/5/2021,1595376,916470,0,0
25/5/2021,1665309,947280,0,0
26/5/2021,1685867,949192,0,0
27/5/2021,1744820,998887,0,0
28/5/2021,1791815,1026526,0,0
29/5/2021,1842977,1041621,0,0
30/5/2021,1881419,1066071,0,0
31/5/2021,1949118,1094807,0,0
1/6/2021,2024665,1119281,0,0
2/6/2021,2121792,1129183,0,0
3/6/2021,2233302,1137073,0,0
4/6/2021,2319814,1142068,0,0
5/6/2021,2392093,1143475,0,0
6/6/2021,2473335,1145095,0,0
7/6/2021,2534206,1150204,0,0
8/6/2021,2642806,1196659,0,0
9/6/2021,2759216,1237485,0,0
10/6/2021,2873085,1285013,0,0
11/6/2021,2969498,1315326,0,0
12/6/2021,3072971,1349542,0,0
13/6/2021,3178022,1376571,0,0
14/6/2021,3326102,1432552,0,0
15/6/2021,3493292,1488838,0,0
16/6/2021,3699697,1497148,0,0
17/6/2021,3884912,1541641,0,0
18/6/2021,4038088,1574435,0,0
19/6/2021,4174045,1610789,0,0
20/6/2021,4296594,1635047,0,0
21/6/2021,4487201,1689849,0,0
22/6/2021,4686487,1750946,0,0
23/6/2021,4871945,1831162,0,0
24/6/2021,5055020,1926037,0,0
25/6/2021,5209927,1994361,0,0
26/6/2021,5352709,2050783,0,0
27/6/2021,5464503,2117047,0,0
28/6/2021,5631102,2160723,0,0
29/6/2021,5790029,2246287,0,0
30/6/2021,5964126,2343155,0,0
1/7/2021,6147887,2429797,0,0
2/7/2021,6318135,2500549,0,0
3/7/2021,6462960,2579979,0,0
4/7/2021,6598062,2660861,0,0
5/7/2021,6804686,2782417,0,0
6/7/2021,7021624,2921798,0,0
7/7/2021,7240509,3098485,0,0
8/7/2021,7470597,3259212,0,0
9/7/2021,7691387,3389127,0,0
10/7/2021,7911194,3505995,0,0
11/7/2021,8106020,3609483,0,0
12/7/2021,8378011,3772630,0,0
13/7/2021,8646541,3944158,0,0
14/7/2021,8941897,4108349,0,0
15/7/2021,9259822,4269747,0,0
16/7/2021,9543778,4404064,0,0
17/7/2021,9808573,4536996,0,0
18/7/2021,10061243,4641228,0,0
19/7/2021,10350178,4795897,0,0
20/7/2021,10558814,4899452,0,0
21/7/2021,10848019,5070144,0,0
22/7/2021,11191522,5247126,0,0
23/7/2021,11506294,5411826,0,0
24/7/2021,11802386,5549528,0,0
25/7/2021,12094995,5674683,0,0
26/7/2021,12437968,5870461,0,0
27/7/2021,12804732,6076497,0,0
28/7/2021,13180401,6283867,0,0
29/7/2021,13543692,6502618,0,0
30/7/2021,13876976,6705851,0,0
31/7/2021,14213796,6913578,0,0
1/8/2021,14524494,7099290,0,0
2/8/2021,14761637,7351655,0,0
3/8/2021,15015828,7602764,0,0
4/8/2021,15258884,7876428,0,0
5/8/2021,15495028,8179588,0,0
6/8/2021,15700588,8445693,0,0
7/8/2021,15905740,8693098,0,0
8/8/2021,16078149,8932986,0,0
9/8/2021,16281812,9218011,0,0
10/8/2021,16459040,9420025,0,0
11/8/2021,16704320,9695012,0,0
12/8/2021,16922987,10029269,0,0
13/8/2021,17109133,10340824,0,0
14/8/2021,17290886,10630803,0,0
15/8/2021,17449637,10912838,0,0
16/8/2021,17641108,11248520,0,0
17/8/2021,17840633,11599124,0,0
18/8/2021,18048276,11964384,0,0
19/8/2021,18245646,12316838,0,0
20/8/2021,18419216,12658886,0,0
21/8/2021,18594970,12985207,0,0
22/8/2021,18745586,13300114,0,0
23/8/2021,18908410,13556365,0,0
24/8/2021,19078973,13833300,0,0
25/8/2021,19255863,14108982,0,0
26/8/2021,19430884,14376496,0,0
27/8/2021,19592084,14594999,0,0
28/8/2021,19762665,14805581,0,0
29/8/2021,19925475,14983842,0,0
30/8/2021,20126229,15180124,0,0
31/8/2021,20258267,15338643,0,0
1/9/2021,20463112,15568250,4,0
2/9/2021,20664181,15776209,11,0
3/9/2021,20827406,15978804,13,0
4/9/2021,20983250,16167304,19,0
5/9/2021,21136330,16338586,22,0
6/9/2021,21282867,16539003,25,0
7/9/2021,21430120,16746736,27,0
8/9/2021,21571373,16960145,34,0
9/9/2021,21721143,17168383,36,0
10/9/2021,21847535,17366612,40,0
11/9/2021,21951805,17556887,86,0
12/9/2021,22042324,17723332,181,0
13/9/2021,22125086,17896939,183,0
14/9/2021,22209237,18086945,186,0
15/9/2021,22287714,18286653,192,0
16/9/2021,22357265,18441342,193,0
17/9/2021,22442020,18623907,199,0
18/9/2021,22525701,18800344,200,0
19/9/2021,22595500,18972927,201,0
20/9/2021,22699629,19184451,203,0
21/9/2021,22831011,19333017,208,0
22/9/2021,22963040,19547909,211,0
23/9/2021,23104534,19757074,213,0
24/9/2021,23229362,19926088,215,0
25/9/2021,23351919,20084585,220,0
26/9/2021,23474945,20247304,227,0
27/9/2021,23652238,20409540,232,0
28/9/2021,23828820,20580349,241,0
29/9/2021,24027520,20739115,247,0
30/9/2021,24202990,20911659,264,0
1/10/2021,24310447,21055251,285,0
2/10/2021,24405099,21186644,291,0
3/10/2021,24505267,21305668,298,0
4/10/2021,24636988,21412477,420,0
5/10/2021,24765270,21521501,527,0
6/10/2021,24883519,21625679,568,0
7/10/2021,24995810,21720972,635,0
8/10/2021,25073612,21829283,1248,0
9/10/2021,25116212,21940140,1270,0
10/10/2021,25150180,22044551,1275,0
11/10/2021,25206271,22187030,1317,0
12/10/2021,25265520,22347223,1512,0
13/10/2021,25320324,22509873,3732,0
14/10/2021,25364809,22681263,7063,0
15/10/2021,25404019,22819742,17473,0
16/10/2021,25421190,22938029,21100,1
17/10/2021,25439489,23061044,23832,1
18/10/2021,25473867,23236053,33060,1
19/10/2021,25490067,23359580,34472,2
20/10/2021,25522496,23580484,51805,3
21/10/2021,25556853,23775123,72385,3
22/10/2021,25587019,23895310,91271,3
23/10/2021,25599602,23996194,99657,4
24/10/2021,25611970,24108273,108282,5
25/10/2021,25637385,24255191,130626,7
26/10/2021,25663722,24397183,153405,11
27/10/2021,25684768,24525844,181696,20
28/10/2021,25705915,24646819,234838,609
29/10/2021,25722238,24731411,280620,897
30/10/2021,25729996,24783396,301747,1004
31/10/2021,25736959,24827498,318743,1082
1/11/2021,25747238,24885967,363454,1306
2/11/2021,25757702,24945176,421336,1610
3/11/2021,25766850,24990395,486988,1876
4/11/2021,25770216,25010104,508419,1953
5/11/2021,25776294,25042146,556881,2116
6/11/2021,25781545,25056223,582690,2240
7/11/2021,25785493,25071095,605408,2308
8/11/2021,25792495,25117082,665717,2537
9/11/2021,25801293,25149029,744963,2869
10/11/2021,25809960,25189171,832584,3174
11/11/2021,25819612,25234629,927392,3498
12/11/2021,25827674,25269769,1003601,3763
13/11/2021,25831794,25286474,1042706,3947
14/11/2021,25835805,25298078,1074252,4022
15/11/2021,25842597,25325870,1146705,4320
16/11/2021,25850059,25352811,1237977,4705
17/11/2021,25856802,25374390,1332518,5015
18/11/2021,25864577,25396192,1431723,5333
19/11/2021,25871961,25414220,1515818,5640
20/11/2021,25875340,25420995,1554313,5758
21/11/2021,25878168,25426312,1585463,5830
22/11/2021,25883479,25438863,1680618,6098
23/11/2021,25889062,25450055,1803909,6452
24/11/2021,25894555,25459199,1932545,6788
25/11/2021,25900721,25465669,2063835,7116
26/11/2021,25905872,25472767,2168159,7332
27/11/2021,25908536,25478416,2216717,7456
28/11/2021,25910950,25482253,2254591,7524
29/11/2021,25915775,25489531,2354964,7825
30/11/2021,25921184,25498754,2480218,8152
1/12/2021,25926893,25507427,2613692,8512
2/12/2021,25932683,25516923,2753602,8888
3/12/2021,25937387,25524228,2871465,9157
4/12/2021,25941124,25529091,2935480,9308
5/12/2021,25943306,25532520,2987669,9438
6/12/2021,25948804,25539559,3078240,9745
7/12/2021,25953954,25546884,3195840,10144
8/12/2021,25959171,25553858,3314605,10467
9/12/2021,25964652,25562278,3447485,10840
