case_type,date,count
Unvaccinated Cases per 10000,"Wednesday, 24 February, 2021",1.085524178
Vaccinated Cases per 10000,"Wednesday, 24 February, 2021",0
Unvaccinated Cases per 10000,"Thursday, 25 February, 2021",0.589174067
Vaccinated Cases per 10000,"Thursday, 25 February, 2021",0
Unvaccinated Cases per 10000,"Friday, 26 February, 2021",0.69000843
Vaccinated Cases per 10000,"Friday, 26 February, 2021",0
Unvaccinated Cases per 10000,"Saturday, 27 February, 2021",0.724152578
Vaccinated Cases per 10000,"Saturday, 27 February, 2021",0
Unvaccinated Cases per 10000,"Sunday, 28 February, 2021",0.74666799
Vaccinated Cases per 10000,"Sunday, 28 February, 2021",0
Unvaccinated Cases per 10000,"Monday, 1 March, 2021",0.560341929
Vaccinated Cases per 10000,"Monday, 1 March, 2021",0
Unvaccinated Cases per 10000,"Tuesday, 2 March, 2021",0.476975313
Vaccinated Cases per 10000,"Tuesday, 2 March, 2021",0
Unvaccinated Cases per 10000,"Wednesday, 3 March, 2021",0.535321028
Vaccinated Cases per 10000,"Wednesday, 3 March, 2021",0.127359332
Unvaccinated Cases per 10000,"Thursday, 4 March, 2021",0.633310414
Vaccinated Cases per 10000,"Thursday, 4 March, 2021",0.102012711
Unvaccinated Cases per 10000,"Friday, 5 March, 2021",0.660937091
Vaccinated Cases per 10000,"Friday, 5 March, 2021",0.266906289
Unvaccinated Cases per 10000,"Saturday, 6 March, 2021",0.515849697
Vaccinated Cases per 10000,"Saturday, 6 March, 2021",0.155951499
Unvaccinated Cases per 10000,"Sunday, 7 March, 2021",0.516664713
Vaccinated Cases per 10000,"Sunday, 7 March, 2021",0.21299557
Unvaccinated Cases per 10000,"Monday, 8 March, 2021",0.468465457
Vaccinated Cases per 10000,"Monday, 8 March, 2021",0.416555089
Unvaccinated Cases per 10000,"Tuesday, 9 March, 2021",0.393419548
Vaccinated Cases per 10000,"Tuesday, 9 March, 2021",0.15142873
Unvaccinated Cases per 10000,"Wednesday, 10 March, 2021",0.445880485
Vaccinated Cases per 10000,"Wednesday, 10 March, 2021",0.088150385
Unvaccinated Cases per 10000,"Thursday, 11 March, 2021",0.502411746
Vaccinated Cases per 10000,"Thursday, 11 March, 2021",0.749805642
Unvaccinated Cases per 10000,"Friday, 12 March, 2021",0.484903457
Vaccinated Cases per 10000,"Friday, 12 March, 2021",0.178877437
Unvaccinated Cases per 10000,"Saturday, 13 March, 2021",0.449003937
Vaccinated Cases per 10000,"Saturday, 13 March, 2021",0.573197295
Unvaccinated Cases per 10000,"Sunday, 14 March, 2021",0.414525941
Vaccinated Cases per 10000,"Sunday, 14 March, 2021",0.423600408
Unvaccinated Cases per 10000,"Monday, 15 March, 2021",0.368699914
Vaccinated Cases per 10000,"Monday, 15 March, 2021",0.488870556
Unvaccinated Cases per 10000,"Tuesday, 16 March, 2021",0.32472417
Vaccinated Cases per 10000,"Tuesday, 16 March, 2021",0.396870393
Unvaccinated Cases per 10000,"Wednesday, 17 March, 2021",0.373255191
Vaccinated Cases per 10000,"Wednesday, 17 March, 2021",0.374775469
Unvaccinated Cases per 10000,"Thursday, 18 March, 2021",0.371905883
Vaccinated Cases per 10000,"Thursday, 18 March, 2021",0.332589697
