case_type,date,count
Unvaccinated Deaths per 10000,"Wednesday, 24 February, 2021",0.001531064
Vaccinated Deaths per 10000,"Wednesday, 24 February, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 25 February, 2021",0.001837341
Vaccinated Deaths per 10000,"Thursday, 25 February, 2021",0
Unvaccinated Deaths per 10000,"Friday, 26 February, 2021",0.000918786
Vaccinated Deaths per 10000,"Friday, 26 February, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 27 February, 2021",0.003063251
Vaccinated Deaths per 10000,"Saturday, 27 February, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 28 February, 2021",0.001531941
Vaccinated Deaths per 10000,"Sunday, 28 February, 2021",0
Unvaccinated Deaths per 10000,"Monday, 1 March, 2021",0.001226131
Vaccinated Deaths per 10000,"Monday, 1 March, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 2 March, 2021",0.002760629
Vaccinated Deaths per 10000,"Tuesday, 2 March, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 3 March, 2021",0.001227801
Vaccinated Deaths per 10000,"Wednesday, 3 March, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 4 March, 2021",0.000921402
Vaccinated Deaths per 10000,"Thursday, 4 March, 2021",0
Unvaccinated Deaths per 10000,"Friday, 5 March, 2021",0.002458157
Vaccinated Deaths per 10000,"Friday, 5 March, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 6 March, 2021",0.001229677
Vaccinated Deaths per 10000,"Saturday, 6 March, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 7 March, 2021",0.001537693
Vaccinated Deaths per 10000,"Sunday, 7 March, 2021",0
Unvaccinated Deaths per 10000,"Monday, 8 March, 2021",0.001846776
Vaccinated Deaths per 10000,"Monday, 8 March, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 9 March, 2021",0.002464649
Vaccinated Deaths per 10000,"Tuesday, 9 March, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 10 March, 2021",0.002158481
Vaccinated Deaths per 10000,"Wednesday, 10 March, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 11 March, 2021",0.001234427
Vaccinated Deaths per 10000,"Thursday, 11 March, 2021",0
Unvaccinated Deaths per 10000,"Friday, 12 March, 2021",0.000926567
Vaccinated Deaths per 10000,"Friday, 12 March, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 13 March, 2021",0.000927056
Vaccinated Deaths per 10000,"Saturday, 13 March, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 14 March, 2021",0.001236468
Vaccinated Deaths per 10000,"Sunday, 14 March, 2021",0
Unvaccinated Deaths per 10000,"Monday, 15 March, 2021",0.001237248
Vaccinated Deaths per 10000,"Monday, 15 March, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 16 March, 2021",0.000928668
Vaccinated Deaths per 10000,"Tuesday, 16 March, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 17 March, 2021",0.000619511
Vaccinated Deaths per 10000,"Wednesday, 17 March, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 18 March, 2021",0.000309922
Vaccinated Deaths per 10000,"Thursday, 18 March, 2021",0
Unvaccinated Deaths per 10000,"Friday, 19 March, 2021",0.000310025
Vaccinated Deaths per 10000,"Friday, 19 March, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 20 March, 2021",0.001550494
Vaccinated Deaths per 10000,"Saturday, 20 March, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 21 March, 2021",0.001550961
Vaccinated Deaths per 10000,"Sunday, 21 March, 2021",0
Unvaccinated Deaths per 10000,"Monday, 22 March, 2021",0.000620572
Vaccinated Deaths per 10000,"Monday, 22 March, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 23 March, 2021",0.000620732
Vaccinated Deaths per 10000,"Tuesday, 23 March, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 24 March, 2021",0.001241705
Vaccinated Deaths per 10000,"Wednesday, 24 March, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 25 March, 2021",0.000620977
Vaccinated Deaths per 10000,"Thursday, 25 March, 2021",0
Unvaccinated Deaths per 10000,"Friday, 26 March, 2021",0.000310526
Vaccinated Deaths per 10000,"Friday, 26 March, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 27 March, 2021",0.002484342
Vaccinated Deaths per 10000,"Saturday, 27 March, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 28 March, 2021",0.000931735
Vaccinated Deaths per 10000,"Sunday, 28 March, 2021",0.021781557
Unvaccinated Deaths per 10000,"Monday, 29 March, 2021",0.001242617
Vaccinated Deaths per 10000,"Monday, 29 March, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 30 March, 2021",0.001864593
Vaccinated Deaths per 10000,"Tuesday, 30 March, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 31 March, 2021",0.002797755
Vaccinated Deaths per 10000,"Wednesday, 31 March, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 1 April, 2021",0.000933046
Vaccinated Deaths per 10000,"Thursday, 1 April, 2021",0
Unvaccinated Deaths per 10000,"Friday, 2 April, 2021",0.000622177
Vaccinated Deaths per 10000,"Friday, 2 April, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 3 April, 2021",0.001555573
Vaccinated Deaths per 10000,"Saturday, 3 April, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 4 April, 2021",0.001867038
Vaccinated Deaths per 10000,"Sunday, 4 April, 2021",0
Unvaccinated Deaths per 10000,"Monday, 5 April, 2021",0.001245049
Vaccinated Deaths per 10000,"Monday, 5 April, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 6 April, 2021",0.000934107
Vaccinated Deaths per 10000,"Tuesday, 6 April, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 7 April, 2021",0.000622985
Vaccinated Deaths per 10000,"Wednesday, 7 April, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 8 April, 2021",0.001869659
Vaccinated Deaths per 10000,"Thursday, 8 April, 2021",0
Unvaccinated Deaths per 10000,"Friday, 9 April, 2021",0.002181761
Vaccinated Deaths per 10000,"Friday, 9 April, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 10 April, 2021",0.000935206
Vaccinated Deaths per 10000,"Saturday, 10 April, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 11 April, 2021",0.001871139
Vaccinated Deaths per 10000,"Sunday, 11 April, 2021",0
Unvaccinated Deaths per 10000,"Monday, 12 April, 2021",0.003433138
Vaccinated Deaths per 10000,"Monday, 12 April, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 13 April, 2021",0.001561337
Vaccinated Deaths per 10000,"Tuesday, 13 April, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 14 April, 2021",0.001562358
Vaccinated Deaths per 10000,"Wednesday, 14 April, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 15 April, 2021",0.001250594
Vaccinated Deaths per 10000,"Thursday, 15 April, 2021",0
Unvaccinated Deaths per 10000,"Friday, 16 April, 2021",0.001876808
Vaccinated Deaths per 10000,"Friday, 16 April, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 17 April, 2021",0.003441738
Vaccinated Deaths per 10000,"Saturday, 17 April, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 18 April, 2021",0.002503565
Vaccinated Deaths per 10000,"Sunday, 18 April, 2021",0
Unvaccinated Deaths per 10000,"Monday, 19 April, 2021",0.003131874
Vaccinated Deaths per 10000,"Monday, 19 April, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 20 April, 2021",0.003134042
Vaccinated Deaths per 10000,"Tuesday, 20 April, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 21 April, 2021",0.002822039
Vaccinated Deaths per 10000,"Wednesday, 21 April, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 22 April, 2021",0.001882209
Vaccinated Deaths per 10000,"Thursday, 22 April, 2021",0
Unvaccinated Deaths per 10000,"Friday, 23 April, 2021",0.004707328
Vaccinated Deaths per 10000,"Friday, 23 April, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 24 April, 2021",0.002511205
Vaccinated Deaths per 10000,"Saturday, 24 April, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 25 April, 2021",0.006593798
Vaccinated Deaths per 10000,"Sunday, 25 April, 2021",0
Unvaccinated Deaths per 10000,"Monday, 26 April, 2021",0.004398818
Vaccinated Deaths per 10000,"Monday, 26 April, 2021",0
Unvaccinated Deaths per 10000,"Tuesday, 27 April, 2021",0.003458694
Vaccinated Deaths per 10000,"Tuesday, 27 April, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 28 April, 2021",0.004405642
Vaccinated Deaths per 10000,"Wednesday, 28 April, 2021",0
Unvaccinated Deaths per 10000,"Thursday, 29 April, 2021",0.006924562
Vaccinated Deaths per 10000,"Thursday, 29 April, 2021",0
Unvaccinated Deaths per 10000,"Friday, 30 April, 2021",0.006613514
Vaccinated Deaths per 10000,"Friday, 30 April, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 1 May, 2021",0.005039333
Vaccinated Deaths per 10000,"Saturday, 1 May, 2021",0
Unvaccinated Deaths per 10000,"Sunday, 2 May, 2021",0.006300687
Vaccinated Deaths per 10000,"Sunday, 2 May, 2021",0
Unvaccinated Deaths per 10000,"Monday, 3 May, 2021",0.00662084
Vaccinated Deaths per 10000,"Monday, 3 May, 2021",0.021297621
Unvaccinated Deaths per 10000,"Tuesday, 4 May, 2021",0.004418092
Vaccinated Deaths per 10000,"Tuesday, 4 May, 2021",0
Unvaccinated Deaths per 10000,"Wednesday, 5 May, 2021",0.009476954
Vaccinated Deaths per 10000,"Wednesday, 5 May, 2021",0.009986418
Unvaccinated Deaths per 10000,"Thursday, 6 May, 2021",0.008539268
Vaccinated Deaths per 10000,"Thursday, 6 May, 2021",0.009629607
Unvaccinated Deaths per 10000,"Friday, 7 May, 2021",0.009814392
Vaccinated Deaths per 10000,"Friday, 7 May, 2021",0
Unvaccinated Deaths per 10000,"Saturday, 8 May, 2021",0.008553089
Vaccinated Deaths per 10000,"Saturday, 8 May, 2021",0.01835605
Unvaccinated Deaths per 10000,"Sunday, 9 May, 2021",0.006657873
Vaccinated Deaths per 10000,"Sunday, 9 May, 2021",0
