date,cases_child,cases_adolescent,cases_adult,cases_elderly
25/1/2020,0,0,1,0
26/1/2020,0,0,0,0
27/1/2020,0,0,0,0
28/1/2020,0,0,0,0
29/1/2020,1,0,2,0
30/1/2020,0,0,1,0
31/1/2020,0,0,0,0
1/2/2020,0,0,0,0
2/2/2020,0,0,0,0
3/2/2020,0,0,0,0
4/2/2020,0,0,1,1
5/2/2020,1,0,1,0
6/2/2020,0,0,2,0
7/2/2020,0,0,1,0
8/2/2020,0,0,0,1
9/2/2020,0,0,0,1
10/2/2020,0,0,1,0
11/2/2020,0,0,0,0
12/2/2020,0,0,0,0
13/2/2020,0,0,0,0
14/2/2020,0,0,1,0
15/2/2020,0,0,2,1
16/2/2020,0,0,0,0
17/2/2020,0,0,0,0
18/2/2020,0,0,0,0
19/2/2020,0,0,0,0
20/2/2020,0,0,0,0
21/2/2020,0,0,0,0
22/2/2020,0,0,0,0
23/2/2020,0,0,0,0
24/2/2020,0,0,0,0
25/2/2020,0,0,0,0
26/2/2020,0,0,0,0
27/2/2020,0,0,1,0
28/2/2020,0,0,2,0
29/2/2020,0,0,0,0
1/3/2020,0,0,4,0
2/3/2020,0,0,0,0
3/3/2020,0,0,7,0
4/3/2020,0,0,10,4
5/3/2020,1,0,3,1
6/3/2020,1,1,23,3
7/3/2020,1,0,7,2
8/3/2020,1,0,5,0
9/3/2020,1,0,12,5
10/3/2020,0,0,11,1
11/3/2020,1,1,10,8
12/3/2020,0,0,6,3
13/3/2020,0,0,31,8
14/3/2020,0,0,34,7
15/3/2020,2,3,128,48
16/3/2020,3,3,85,31
17/3/2020,5,3,91,21
18/3/2020,4,8,78,26
19/3/2020,6,7,77,20
20/3/2020,2,7,96,22
21/3/2020,7,4,106,33
22/3/2020,2,6,95,20
23/3/2020,2,4,155,35
24/3/2020,4,8,71,18
25/3/2020,4,6,114,43
26/3/2020,12,18,168,32
27/3/2020,7,3,95,23
28/3/2020,5,8,113,32
29/3/2020,5,6,109,27
30/3/2020,10,7,117,20
31/3/2020,4,7,100,28
1/4/2020,7,9,103,22
2/4/2020,8,13,142,37
3/4/2020,6,19,164,25
4/4/2020,2,8,111,15
5/4/2020,17,19,114,23
6/4/2020,13,6,77,30
7/4/2020,13,14,112,23
8/4/2020,8,20,101,26
9/4/2020,5,5,84,14
10/4/2020,2,11,84,20
11/4/2020,14,9,116,18
12/4/2020,12,9,84,17
13/4/2020,3,11,99,10
14/4/2020,6,10,124,25
15/4/2020,3,3,55,24
16/4/2020,15,15,62,16
17/4/2020,7,7,44,8
18/4/2020,4,5,37,8
19/4/2020,4,7,66,3
20/4/2020,2,3,26,5
21/4/2020,1,9,43,4
22/4/2020,0,4,33,5
23/4/2020,2,4,39,4
24/4/2020,3,6,38,2
25/4/2020,2,3,19,6
26/4/2020,1,2,22,8
27/4/2020,4,0,18,2
28/4/2020,1,1,17,4
29/4/2020,0,6,84,1
30/4/2020,3,4,44,5
1/5/2020,1,3,35,1
2/5/2020,6,4,87,4
3/5/2020,2,18,89,3
4/5/2020,2,4,42,0
5/5/2020,0,0,23,2
6/5/2020,0,4,33,5
7/5/2020,0,2,25,4
8/5/2020,0,1,65,1
9/5/2020,0,0,47,1
10/5/2020,0,5,58,1
11/5/2020,4,4,56,4
12/5/2020,0,0,8,1
13/5/2020,2,0,32,2
14/5/2020,0,2,23,0
15/5/2020,0,1,20,5
16/5/2020,1,1,14,1
17/5/2020,0,1,17,1
18/5/2020,0,0,36,3
19/5/2020,1,1,22,5
20/5/2020,1,1,24,1
21/5/2020,0,2,12,1
22/5/2020,0,8,39,2
23/5/2020,2,0,41,4
24/5/2020,1,3,51,2
25/5/2020,0,2,89,2
26/5/2020,1,1,107,2
27/5/2020,1,0,12,0
28/5/2020,0,1,5,0
29/5/2020,1,3,71,1
30/5/2020,0,2,11,4
31/5/2020,1,2,48,1
1/6/2020,3,1,31,0
2/6/2020,1,0,19,0
3/6/2020,1,29,57,0
4/6/2020,1,3,255,2
5/6/2020,3,2,11,1
6/6/2020,3,3,23,1
7/6/2020,1,2,13,2
8/6/2020,1,0,6,0
9/6/2020,0,0,6,0
10/6/2020,0,0,2,0
11/6/2020,0,1,28,0
12/6/2020,2,1,23,1
13/6/2020,12,8,21,2
14/6/2020,0,0,3,1
15/6/2020,7,3,27,2
16/6/2020,0,1,9,0
17/6/2020,2,1,4,3
18/6/2020,0,0,13,1
19/6/2020,0,1,4,1
20/6/2020,0,6,4,4
21/6/2020,0,0,14,2
22/6/2020,0,0,15,0
23/6/2020,0,0,2,1
24/6/2020,0,1,5,0
25/6/2020,0,0,3,1
26/6/2020,0,1,4,1
27/6/2020,1,2,7,0
28/6/2020,1,0,17,0
29/6/2020,1,0,2,0
30/6/2020,0,0,2,0
1/7/2020,0,0,1,0
2/7/2020,0,0,3,0
3/7/2020,0,0,4,1
4/7/2020,4,0,6,0
5/7/2020,1,0,3,1
6/7/2020,0,0,5,0
