date,state,cases_active,cases_active_10000,pop
25/1/2020,Johor,4,0.010542407,3794200
25/1/2020,Kedah,0,0,2193600
25/1/2020,Kelantan,0,0,1928900
25/1/2020,Melaka,0,0,937800
25/1/2020,Negeri Sembilan,0,0,1128900
25/1/2020,Pahang,0,0,1684700
25/1/2020,Perak,0,0,2509000
25/1/2020,Perlis,0,0,255500
25/1/2020,Pulau Pinang,0,0,1774200
25/1/2020,Sabah,0,0,3832500
25/1/2020,Sarawak,0,0,2824700
25/1/2020,Selangor,0,0,6555100
25/1/2020,Terengganu,0,0,1275200
25/1/2020,W.P. Kuala Lumpur,0,0,1746600
25/1/2020,W.P. Labuan,0,0,100100
25/1/2020,W.P. Putrajaya,0,0,116100
26/1/2020,Johor,4,0.010542407,3794200
26/1/2020,Kedah,0,0,2193600
26/1/2020,Kelantan,0,0,1928900
26/1/2020,Melaka,0,0,937800
26/1/2020,Negeri Sembilan,0,0,1128900
26/1/2020,Pahang,0,0,1684700
26/1/2020,Perak,0,0,2509000
26/1/2020,Perlis,0,0,255500
26/1/2020,Pulau Pinang,0,0,1774200
26/1/2020,Sabah,0,0,3832500
26/1/2020,Sarawak,0,0,2824700
26/1/2020,Selangor,0,0,6555100
26/1/2020,Terengganu,0,0,1275200
26/1/2020,W.P. Kuala Lumpur,0,0,1746600
26/1/2020,W.P. Labuan,0,0,100100
26/1/2020,W.P. Putrajaya,0,0,116100
27/1/2020,Johor,4,0.010542407,3794200
27/1/2020,Kedah,0,0,2193600
27/1/2020,Kelantan,0,0,1928900
27/1/2020,Melaka,0,0,937800
27/1/2020,Negeri Sembilan,0,0,1128900
27/1/2020,Pahang,0,0,1684700
27/1/2020,Perak,0,0,2509000
27/1/2020,Perlis,0,0,255500
27/1/2020,Pulau Pinang,0,0,1774200
27/1/2020,Sabah,0,0,3832500
27/1/2020,Sarawak,0,0,2824700
27/1/2020,Selangor,0,0,6555100
27/1/2020,Terengganu,0,0,1275200
27/1/2020,W.P. Kuala Lumpur,0,0,1746600
27/1/2020,W.P. Labuan,0,0,100100
27/1/2020,W.P. Putrajaya,0,0,116100
28/1/2020,Johor,4,0.010542407,3794200
28/1/2020,Kedah,0,0,2193600
28/1/2020,Kelantan,0,0,1928900
28/1/2020,Melaka,0,0,937800
28/1/2020,Negeri Sembilan,0,0,1128900
28/1/2020,Pahang,0,0,1684700
28/1/2020,Perak,0,0,2509000
28/1/2020,Perlis,0,0,255500
28/1/2020,Pulau Pinang,0,0,1774200
28/1/2020,Sabah,0,0,3832500
28/1/2020,Sarawak,0,0,2824700
28/1/2020,Selangor,0,0,6555100
28/1/2020,Terengganu,0,0,1275200
28/1/2020,W.P. Kuala Lumpur,0,0,1746600
28/1/2020,W.P. Labuan,0,0,100100
28/1/2020,W.P. Putrajaya,0,0,116100
29/1/2020,Johor,6,0.015813610,3794200
29/1/2020,Kedah,1,0.004558716,2193600
29/1/2020,Kelantan,0,0,1928900
29/1/2020,Melaka,0,0,937800
29/1/2020,Negeri Sembilan,0,0,1128900
29/1/2020,Pahang,0,0,1684700
29/1/2020,Perak,0,0,2509000
29/1/2020,Perlis,0,0,255500
29/1/2020,Pulau Pinang,0,0,1774200
29/1/2020,Sabah,0,0,3832500
29/1/2020,Sarawak,0,0,2824700
29/1/2020,Selangor,0,0,6555100
29/1/2020,Terengganu,0,0,1275200
29/1/2020,W.P. Kuala Lumpur,0,0,1746600
29/1/2020,W.P. Labuan,0,0,100100
29/1/2020,W.P. Putrajaya,0,0,116100
30/1/2020,Johor,7,0.018449212,3794200
30/1/2020,Kedah,1,0.004558716,2193600
30/1/2020,Kelantan,0,0,1928900
30/1/2020,Melaka,0,0,937800
30/1/2020,Negeri Sembilan,0,0,1128900
30/1/2020,Pahang,0,0,1684700
30/1/2020,Perak,0,0,2509000
30/1/2020,Perlis,0,0,255500
30/1/2020,Pulau Pinang,0,0,1774200
30/1/2020,Sabah,0,0,3832500
30/1/2020,Sarawak,0,0,2824700
30/1/2020,Selangor,0,0,6555100
30/1/2020,Terengganu,0,0,1275200
30/1/2020,W.P. Kuala Lumpur,0,0,1746600
30/1/2020,W.P. Labuan,0,0,100100
30/1/2020,W.P. Putrajaya,0,0,116100
31/1/2020,Johor,7,0.018449212,3794200
31/1/2020,Kedah,1,0.004558716,2193600
31/1/2020,Kelantan,0,0,1928900
31/1/2020,Melaka,0,0,937800
31/1/2020,Negeri Sembilan,0,0,1128900
31/1/2020,Pahang,0,0,1684700
31/1/2020,Perak,0,0,2509000
31/1/2020,Perlis,0,0,255500
31/1/2020,Pulau Pinang,0,0,1774200
31/1/2020,Sabah,0,0,3832500
31/1/2020,Sarawak,0,0,2824700
31/1/2020,Selangor,0,0,6555100
31/1/2020,Terengganu,0,0,1275200
31/1/2020,W.P. Kuala Lumpur,0,0,1746600
31/1/2020,W.P. Labuan,0,0,100100
31/1/2020,W.P. Putrajaya,0,0,116100
1/2/2020,Johor,7,0.018449212,3794200
1/2/2020,Kedah,1,0.004558716,2193600
1/2/2020,Kelantan,0,0,1928900
1/2/2020,Melaka,0,0,937800
1/2/2020,Negeri Sembilan,0,0,1128900
1/2/2020,Pahang,0,0,1684700
1/2/2020,Perak,0,0,2509000
1/2/2020,Perlis,0,0,255500
1/2/2020,Pulau Pinang,0,0,1774200
1/2/2020,Sabah,0,0,3832500
1/2/2020,Sarawak,0,0,2824700
1/2/2020,Selangor,0,0,6555100
1/2/2020,Terengganu,0,0,1275200
1/2/2020,W.P. Kuala Lumpur,0,0,1746600
1/2/2020,W.P. Labuan,0,0,100100
1/2/2020,W.P. Putrajaya,0,0,116100
2/2/2020,Johor,7,0.018449212,3794200
2/2/2020,Kedah,1,0.004558716,2193600
2/2/2020,Kelantan,0,0,1928900
2/2/2020,Melaka,0,0,937800
2/2/2020,Negeri Sembilan,0,0,1128900
2/2/2020,Pahang,0,0,1684700
2/2/2020,Perak,0,0,2509000
2/2/2020,Perlis,0,0,255500
2/2/2020,Pulau Pinang,0,0,1774200
2/2/2020,Sabah,0,0,3832500
2/2/2020,Sarawak,0,0,2824700
2/2/2020,Selangor,0,0,6555100
2/2/2020,Terengganu,0,0,1275200
2/2/2020,W.P. Kuala Lumpur,0,0,1746600
2/2/2020,W.P. Labuan,0,0,100100
2/2/2020,W.P. Putrajaya,0,0,116100
3/2/2020,Johor,7,0.018449212,3794200
3/2/2020,Kedah,1,0.004558716,2193600
3/2/2020,Kelantan,0,0,1928900
3/2/2020,Melaka,0,0,937800
3/2/2020,Negeri Sembilan,0,0,1128900
3/2/2020,Pahang,0,0,1684700
3/2/2020,Perak,0,0,2509000
