date,state,deaths_new
17/3/2020,Johor,1
17/3/2020,Kedah,0
17/3/2020,Kelantan,0
17/3/2020,Melaka,0
17/3/2020,Negeri Sembilan,0
17/3/2020,Pahang,0
17/3/2020,Perak,0
17/3/2020,Perlis,0
17/3/2020,Pulau Pinang,0
17/3/2020,Sabah,0
17/3/2020,Sarawak,1
17/3/2020,Selangor,0
17/3/2020,Terengganu,0
17/3/2020,W.P. Kuala Lumpur,0
17/3/2020,W.P. Labuan,0
17/3/2020,W.P. Putrajaya,0
18/3/2020,Johor,0
18/3/2020,Kedah,0
18/3/2020,Kelantan,0
18/3/2020,Melaka,0
18/3/2020,Negeri Sembilan,0
18/3/2020,Pahang,0
18/3/2020,Perak,0
18/3/2020,Perlis,0
18/3/2020,Pulau Pinang,0
18/3/2020,Sabah,0
18/3/2020,Sarawak,0
18/3/2020,Selangor,0
18/3/2020,Terengganu,0
18/3/2020,W.P. Kuala Lumpur,0
18/3/2020,W.P. Labuan,0
18/3/2020,W.P. Putrajaya,0
19/3/2020,Johor,0
19/3/2020,Kedah,0
19/3/2020,Kelantan,0
19/3/2020,Melaka,0
19/3/2020,Negeri Sembilan,0
19/3/2020,Pahang,0
19/3/2020,Perak,0
19/3/2020,Perlis,0
19/3/2020,Pulau Pinang,0
19/3/2020,Sabah,0
19/3/2020,Sarawak,0
19/3/2020,Selangor,0
19/3/2020,Terengganu,0
19/3/2020,W.P. Kuala Lumpur,0
19/3/2020,W.P. Labuan,0
19/3/2020,W.P. Putrajaya,0
20/3/2020,Johor,0
20/3/2020,Kedah,0
20/3/2020,Kelantan,0
20/3/2020,Melaka,0
20/3/2020,Negeri Sembilan,0
20/3/2020,Pahang,0
20/3/2020,Perak,0
20/3/2020,Perlis,0
20/3/2020,Pulau Pinang,0
20/3/2020,Sabah,1
20/3/2020,Sarawak,0
20/3/2020,Selangor,0
20/3/2020,Terengganu,0
20/3/2020,W.P. Kuala Lumpur,0
20/3/2020,W.P. Labuan,0
20/3/2020,W.P. Putrajaya,0
21/3/2020,Johor,0
21/3/2020,Kedah,0
21/3/2020,Kelantan,1
21/3/2020,Melaka,1
21/3/2020,Negeri Sembilan,0
21/3/2020,Pahang,0
21/3/2020,Perak,0
21/3/2020,Perlis,0
21/3/2020,Pulau Pinang,0
21/3/2020,Sabah,0
21/3/2020,Sarawak,1
21/3/2020,Selangor,0
21/3/2020,Terengganu,0
21/3/2020,W.P. Kuala Lumpur,1
21/3/2020,W.P. Labuan,0
21/3/2020,W.P. Putrajaya,0
22/3/2020,Johor,0
22/3/2020,Kedah,0
22/3/2020,Kelantan,0
22/3/2020,Melaka,0
22/3/2020,Negeri Sembilan,0
22/3/2020,Pahang,0
22/3/2020,Perak,0
22/3/2020,Perlis,1
22/3/2020,Pulau Pinang,1
22/3/2020,Sabah,0
22/3/2020,Sarawak,1
22/3/2020,Selangor,0
22/3/2020,Terengganu,0
22/3/2020,W.P. Kuala Lumpur,1
22/3/2020,W.P. Labuan,0
22/3/2020,W.P. Putrajaya,0
23/3/2020,Johor,3
23/3/2020,Kedah,0
23/3/2020,Kelantan,0
23/3/2020,Melaka,0
23/3/2020,Negeri Sembilan,0
23/3/2020,Pahang,0
23/3/2020,Perak,0
23/3/2020,Perlis,0
23/3/2020,Pulau Pinang,0
23/3/2020,Sabah,0
23/3/2020,Sarawak,2
23/3/2020,Selangor,0
23/3/2020,Terengganu,0
23/3/2020,W.P. Kuala Lumpur,0
23/3/2020,W.P. Labuan,0
23/3/2020,W.P. Putrajaya,0
24/3/2020,Johor,0
24/3/2020,Kedah,0
24/3/2020,Kelantan,0
24/3/2020,Melaka,1
24/3/2020,Negeri Sembilan,0
24/3/2020,Pahang,0
24/3/2020,Perak,0
24/3/2020,Perlis,0
24/3/2020,Pulau Pinang,0
24/3/2020,Sabah,0
24/3/2020,Sarawak,0
24/3/2020,Selangor,1
24/3/2020,Terengganu,0
24/3/2020,W.P. Kuala Lumpur,0
24/3/2020,W.P. Labuan,0
24/3/2020,W.P. Putrajaya,0
25/3/2020,Johor,2
25/3/2020,Kedah,0
25/3/2020,Kelantan,0
25/3/2020,Melaka,0
25/3/2020,Negeri Sembilan,0
25/3/2020,Pahang,0
25/3/2020,Perak,1
25/3/2020,Perlis,0
25/3/2020,Pulau Pinang,0
25/3/2020,Sabah,0
25/3/2020,Sarawak,0
25/3/2020,Selangor,0
25/3/2020,Terengganu,0
25/3/2020,W.P. Kuala Lumpur,0
25/3/2020,W.P. Labuan,0
25/3/2020,W.P. Putrajaya,0
26/3/2020,Johor,1
26/3/2020,Kedah,1
26/3/2020,Kelantan,1
26/3/2020,Melaka,0
26/3/2020,Negeri Sembilan,0
26/3/2020,Pahang,0
26/3/2020,Perak,1
26/3/2020,Perlis,0
26/3/2020,Pulau Pinang,0
26/3/2020,Sabah,0
26/3/2020,Sarawak,0
26/3/2020,Selangor,0
26/3/2020,Terengganu,0
26/3/2020,W.P. Kuala Lumpur,1
26/3/2020,W.P. Labuan,0
26/3/2020,W.P. Putrajaya,0
27/3/2020,Johor,0
27/3/2020,Kedah,0
27/3/2020,Kelantan,0
27/3/2020,Melaka,0
27/3/2020,Negeri Sembilan,0
27/3/2020,Pahang,0
27/3/2020,Perak,0
27/3/2020,Perlis,0
27/3/2020,Pulau Pinang,0
27/3/2020,Sabah,0
27/3/2020,Sarawak,0
27/3/2020,Selangor,1
27/3/2020,Terengganu,0
27/3/2020,W.P. Kuala Lumpur,0
27/3/2020,W.P. Labuan,0
27/3/2020,W.P. Putrajaya,1
28/3/2020,Johor,2
28/3/2020,Kedah,0
28/3/2020,Kelantan,0
28/3/2020,Melaka,0
28/3/2020,Negeri Sembilan,1
28/3/2020,Pahang,0
28/3/2020,Perak,1
28/3/2020,Perlis,0
28/3/2020,Pulau Pinang,0
28/3/2020,Sabah,0
28/3/2020,Sarawak,0
28/3/2020,Selangor,1
28/3/2020,Terengganu,0
28/3/2020,W.P. Kuala Lumpur,1
28/3/2020,W.P. Labuan,0
28/3/2020,W.P. Putrajaya,0
29/3/2020,Johor,2
29/3/2020,Kedah,0
29/3/2020,Kelantan,0
29/3/2020,Melaka,0
29/3/2020,Negeri Sembilan,0
29/3/2020,Pahang,0
29/3/2020,Perak,0
29/3/2020,Perlis,0
29/3/2020,Pulau Pinang,0
29/3/2020,Sabah,0
29/3/2020,Sarawak,0
29/3/2020,Selangor,2
29/3/2020,Terengganu,0
29/3/2020,W.P. Kuala Lumpur,1
29/3/2020,W.P. Labuan,0
29/3/2020,W.P. Putrajaya,0
30/3/2020,Johor,0
30/3/2020,Kedah,0
30/3/2020,Kelantan,0
30/3/2020,Melaka,0
30/3/2020,Negeri Sembilan,1
30/3/2020,Pahang,0
30/3/2020,Perak,0
30/3/2020,Perlis,0
30/3/2020,Pulau Pinang,0
30/3/2020,Sabah,0
30/3/2020,Sarawak,2
30/3/2020,Selangor,1
30/3/2020,Terengganu,0
30/3/2020,W.P. Kuala Lumpur,0
30/3/2020,W.P. Labuan,0
30/3/2020,W.P. Putrajaya,0
31/3/2020,Johor,1
31/3/2020,Kedah,0
31/3/2020,Kelantan,0
31/3/2020,Melaka,0
31/3/2020,Negeri Sembilan,0
31/3/2020,Pahang,0
31/3/2020,Perak,0
31/3/2020,Perlis,0
31/3/2020,Pulau Pinang,0
31/3/2020,Sabah,0
31/3/2020,Sarawak,1
31/3/2020,Selangor,1
31/3/2020,Terengganu,0
31/3/2020,W.P. Kuala Lumpur,2
31/3/2020,W.P. Labuan,0
31/3/2020,W.P. Putrajaya,0
1/4/2020,Johor,0
1/4/2020,Kedah,0
1/4/2020,Kelantan,0
1/4/2020,Melaka,0
1/4/2020,Negeri Sembilan,0
1/4/2020,Pahang,0
1/4/2020,Perak,0
1/4/2020,Perlis,0
1/4/2020,Pulau Pinang,0
1/4/2020,Sabah,0
1/4/2020,Sarawak,1
1/4/2020,Selangor,1
1/4/2020,Terengganu,0
1/4/2020,W.P. Kuala Lumpur,0
1/4/2020,W.P. Labuan,0
1/4/2020,W.P. Putrajaya,0
2/4/2020,Johor,1
2/4/2020,Kedah,0
2/4/2020,Kelantan,0
2/4/2020,Melaka,0
2/4/2020,Negeri Sembilan,1
2/4/2020,Pahang,0
2/4/2020,Perak,0
2/4/2020,Perlis,0
2/4/2020,Pulau Pinang,0
2/4/2020,Sabah,0
2/4/2020,Sarawak,0
2/4/2020,Selangor,0
2/4/2020,Terengganu,0
2/4/2020,W.P. Kuala Lumpur,0
2/4/2020,W.P. Labuan,0
2/4/2020,W.P. Putrajaya,0
3/4/2020,Johor,0
3/4/2020,Kedah,0
3/4/2020,Kelantan,1
3/4/2020,Melaka,0
3/4/2020,Negeri Sembilan,1
3/4/2020,Pahang,1
3/4/2020,Perak,1
3/4/2020,Perlis,0
3/4/2020,Pulau Pinang,0
3/4/2020,Sabah,0
3/4/2020,Sarawak,1
3/4/2020,Selangor,0
3/4/2020,Terengganu,0
3/4/2020,W.P. Kuala Lumpur,0
3/4/2020,W.P. Labuan,0
3/4/2020,W.P. Putrajaya,0
4/4/2020,Johor,0
4/4/2020,Kedah,0
4/4/2020,Kelantan,0
4/4/2020,Melaka,0
4/4/2020,Negeri Sembilan,0
4/4/2020,Pahang,0
4/4/2020,Perak,0
4/4/2020,Perlis,0
4/4/2020,Pulau Pinang,0
4/4/2020,Sabah,1
4/4/2020,Sarawak,1
4/4/2020,Selangor,0
4/4/2020,Terengganu,0
4/4/2020,W.P. Kuala Lumpur,1
4/4/2020,W.P. Labuan,0
4/4/2020,W.P. Putrajaya,0
5/4/2020,Johor,0
5/4/2020,Kedah,0
5/4/2020,Kelantan,0
5/4/2020,Melaka,0
5/4/2020,Negeri Sembilan,0
5/4/2020,Pahang,0
5/4/2020,Perak,0
5/4/2020,Perlis,0
5/4/2020,Pulau Pinang,0
5/4/2020,Sabah,0
5/4/2020,Sarawak,1
5/4/2020,Selangor,0
5/4/2020,Terengganu,1
5/4/2020,W.P. Kuala Lumpur,0
5/4/2020,W.P. Labuan,0
5/4/2020,W.P. Putrajaya,0
6/4/2020,Johor,0
6/4/2020,Kedah,0
6/4/2020,Kelantan,0
6/4/2020,Melaka,0
6/4/2020,Negeri Sembilan,0
6/4/2020,Pahang,0
6/4/2020,Perak,0
6/4/2020,Perlis,1
6/4/2020,Pulau Pinang,0
6/4/2020,Sabah,1
6/4/2020,Sarawak,0
6/4/2020,Selangor,0
6/4/2020,Terengganu,0
6/4/2020,W.P. Kuala Lumpur,0
6/4/2020,W.P. Labuan,0
6/4/2020,W.P. Putrajaya,0
7/4/2020,Johor,0
7/4/2020,Kedah,0
7/4/2020,Kelantan,0
7/4/2020,Melaka,0
7/4/2020,Negeri Sembilan,1
7/4/2020,Pahang,0
7/4/2020,Perak,0
7/4/2020,Perlis,0
7/4/2020,Pulau Pinang,0
7/4/2020,Sabah,0
7/4/2020,Sarawak,0
7/4/2020,Selangor,0
7/4/2020,Terengganu,0
7/4/2020,W.P. Kuala Lumpur,0
7/4/2020,W.P. Labuan,0
7/4/2020,W.P. Putrajaya,0
8/4/2020,Johor,0
8/4/2020,Kedah,0
8/4/2020,Kelantan,0
8/4/2020,Melaka,0
8/4/2020,Negeri Sembilan,0
8/4/2020,Pahang,0
8/4/2020,Perak,0
8/4/2020,Perlis,0
8/4/2020,Pulau Pinang,0
8/4/2020,Sabah,0
8/4/2020,Sarawak,0
8/4/2020,Selangor,0
8/4/2020,Terengganu,0
8/4/2020,W.P. Kuala Lumpur,1
8/4/2020,W.P. Labuan,0
8/4/2020,W.P. Putrajaya,0
9/4/2020,Johor,0
9/4/2020,Kedah,0
9/4/2020,Kelantan,0
