date,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino1,cansino3,cansino4,pfizer,sinovac,astra,sinopharm,cansino
24/2/2021,65,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0
25/2/2021,1147,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,2,0,0,0
26/2/2021,4101,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4102,2,1,0,0
27/2/2021,6699,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,6,0,0,0
28/2/2021,6715,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6717,4,0,0,0
1/3/2021,15391,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15395,2,0,0,0
2/3/2021,21670,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21672,2,0,0,0
3/3/2021,22679,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22683,4,0,0,0
4/3/2021,19502,10,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19512,7,0,0,0
5/3/2021,14368,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14371,4,0,0,0
6/3/2021,15602,1,0,0,201,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15603,204,0,0,0
7/3/2021,12588,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12593,5,0,0,0
8/3/2021,27185,10,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27195,17,0,0,0
9/3/2021,30033,10,0,0,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30043,85,0,0,0
10/3/2021,28767,7,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,28774,5,1,0,0
11/3/2021,26508,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,26512,5,0,0,4
12/3/2021,26120,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26124,6,0,0,0
13/3/2021,17054,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17055,2,0,0,0
14/3/2021,10309,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10312,4,0,0,0
15/3/2021,20181,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20182,2,0,0,0
16/3/2021,25358,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,25362,3,0,0,1
17/3/2021,20794,64,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20858,5,0,0,0
18/3/2021,17301,796,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18097,14,0,0,0
19/3/2021,10742,3834,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14576,2,0,0,0
20/3/2021,7699,6111,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13810,2,0,0,0
21/3/2021,9713,5845,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15558,3,0,0,0
22/3/2021,9716,14573,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24289,3,0,0,0
23/3/2021,8299,20861,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29160,3,0,0,0
24/3/2021,6290,22826,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29116,2,0,0,0
25/3/2021,6351,19363,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25714,83,0,0,0
26/3/2021,3765,12801,0,0,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16566,172,0,0,0
27/3/2021,1230,14437,0,0,473,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15667,481,0,0,0
28/3/2021,3410,12920,0,0,273,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16330,276,0,0,0
29/3/2021,6307,27365,0,0,1552,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33672,1556,0,0,0
30/3/2021,9367,29419,0,0,2157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38786,2160,0,0,0
31/3/2021,6585,27517,0,0,3342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34102,3344,0,0,0
1/4/2021,11184,26555,0,0,4698,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37739,4701,0,0,0
2/4/2021,3918,22904,0,0,3650,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26822,3655,0,0,0
3/4/2021,1520,14745,0,0,1141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16265,1146,0,0,0
4/4/2021,3153,9169,0,0,2809,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12322,2813,0,0,0
5/4/2021,4226,19286,0,0,4979,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23512,4985,0,0,0
6/4/2021,6585,21574,0,0,4445,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28159,4451,0,0,0
7/4/2021,6457,18323,0,0,6266,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24780,6270,0,0,0
8/4/2021,5883,14787,0,0,6209,23,0,0,0,0,0,0,0,0,0,0,0,0,0,20670,6232,0,0,0
9/4/2021,4365,14370,0,0,2859,23,0,0,0,0,0,0,0,0,0,0,3,0,0,18735,2882,0,0,3
10/4/2021,3857,10030,0,0,1816,44,0,0,0,0,0,0,0,0,0,0,0,0,0,13887,1860,0,0,0
11/4/2021,10219,10711,0,0,2257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20930,2266,0,0,0
12/4/2021,22584,13958,0,0,2788,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36542,2790,0,0,0
13/4/2021,12124,7696,0,0,4688,3,0,0,0,1,0,0,0,0,0,0,0,0,0,19820,4691,1,0,0
14/4/2021,17530,7748,0,0,3414,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25278,3418,0,0,0
15/4/2021,13926,9088,0,0,4177,81,0,0,0,0,0,0,0,0,0,0,0,0,0,23014,4258,0,0,0
16/4/2021,12555,3635,0,0,3070,292,0,0,0,0,0,0,0,0,0,0,0,0,0,16190,3362,0,0,0
17/4/2021,7031,655,0,0,1546,458,0,0,0,0,0,0,0,0,0,0,0,0,0,7686,2004,0,0,0
18/4/2021,5420,3544,0,0,742,222,0,0,0,0,0,0,0,0,0,0,0,0,0,8964,964,0,0,0
19/4/2021,22986,7117,0,0,1686,1374,0,0,1,0,0,0,0,0,0,0,0,0,0,30103,3060,1,0,0
20/4/2021,18619,9254,0,0,3465,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,27873,5505,0,0,0
21/4/2021,14745,7962,0,0,1097,3918,0,0,0,0,0,0,0,0,0,0,0,0,0,22707,5015,0,0,0
22/4/2021,13331,10747,0,0,1066,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,24078,5497,0,0,0
23/4/2021,10914,4123,0,0,1306,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,3882,0,0,0
24/4/2021,7654,1945,0,0,336,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,9599,1781,0,0,0
25/4/2021,9039,3247,0,0,76,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,12286,2568,0,0,0
26/4/2021,20528,4587,0,0,845,4359,0,0,0,0,0,0,0,0,0,0,0,0,0,25115,5204,0,0,0
27/4/2021,21946,6824,0,0,880,5074,0,0,0,0,0,0,0,0,0,0,0,0,0,28770,5954,0,0,0
28/4/2021,25057,6243,0,0,1417,7022,0,0,0,0,0,0,0,0,0,0,0,0,0,31300,8439,0,0,0
29/4/2021,6212,3299,0,0,260,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,9511,3030,0,0,0
30/4/2021,17171,5810,0,0,628,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,22981,3732,0,0,0
1/5/2021,2370,2550,0,0,562,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,586,0,0,0
2/5/2021,6637,7355,0,0,1023,768,0,0,0,0,0,0,0,0,0,0,0,0,0,13992,1791,0,0,0
3/5/2021,22917,22138,0,0,907,4612,0,0,719,0,0,0,0,0,0,0,0,0,0,45055,5519,719,0,0
4/5/2021,27660,14702,0,0,2481,4999,0,0,2,0,0,0,0,0,0,0,0,0,0,42362,7480,2,0,0
5/5/2021,22190,19740,0,0,5339,3172,0,0,4615,0,0,0,0,0,0,0,1,0,0,41930,8511,4615,0,1
6/5/2021,26289,13811,0,0,7220,4978,0,0,3595,0,0,0,0,0,0,0,0,0,0,40100,12198,3595,0,0
7/5/2021,17415,11275,0,0,11369,4217,0,0,3586,0,0,0,0,0,0,0,0,0,0,28690,15586,3586,0,0
8/5/2021,12351,7122,0,0,2718,1325,0,0,3654,1,0,0,0,0,0,0,0,0,0,19473,4043,3655,0,0
9/5/2021,17348,5834,0,0,4975,769,0,0,3611,0,0,0,0,0,0,0,2,0,0,23182,5744,3611,0,2
10/5/2021,26116,21903,0,0,7067,2979,0,0,3567,0,0,0,0,0,0,0,0,0,0,48019,10046,3567,0,0
11/5/2021,21771,16370,0,0,5128,2089,0,0,3658,0,0,0,0,0,0,0,0,0,0,38141,7217,3658,0,0
12/5/2021,5405,7569,0,0,1478,262,0,0,3469,0,0,0,0,0,0,0,0,0,0,12974,1740,3469,0,0
13/5/2021,2,4,0,0,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,118,0,0,0
14/5/2021,1,0,0,0,60,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0
15/5/2021,441,597,0,0,153,6,0,0,9806,1,0,0,0,0,0,0,0,0,0,1038,159,9807,0,0
16/5/2021,12,203,0,0,8,131,0,0,10028,0,0,0,0,0,0,0,0,0,0,215,139,10028,0,0
17/5/2021,19916,26872,0,0,2082,1344,0,0,10529,0,0,0,0,0,0,0,0,0,0,46788,3426,10529,0,0
18/5/2021,30670,30002,0,0,4654,2413,0,0,10560,1,0,0,0,0,0,0,0,0,0,60672,7067,10561,0,0
