date,cumul_partial,cumul_full,cumul_booster,cumul_booster2,total_vax,total_unvax
24/2/2021,66,3,0,0,66,32657034
25/2/2021,1216,5,0,0,1216,32655884
26/2/2021,5325,8,0,0,5325,32651775
27/2/2021,12046,14,0,0,12046,32645054
28/2/2021,18765,20,0,0,18765,32638335
1/3/2021,34162,26,0,0,34162,32622938
2/3/2021,55832,30,0,0,55832,32601268
3/3/2021,78518,36,0,0,78518,32578582
4/3/2021,98027,53,0,0,98027,32559073
5/3/2021,112399,59,0,0,112399,32544701
6/3/2021,128245,63,0,0,128245,32528855
7/3/2021,140848,70,0,0,140848,32516252
8/3/2021,168045,87,0,0,168045,32489055
9/3/2021,198113,150,0,0,198113,32458987
10/3/2021,226885,162,0,0,226885,32430215
11/3/2021,253399,174,0,0,253399,32403701
12/3/2021,279521,184,0,0,279521,32377579
13/3/2021,296582,187,0,0,296582,32360518
14/3/2021,306893,192,0,0,306893,32350207
15/3/2021,327285,195,0,0,327285,32329815
16/3/2021,352760,202,0,0,352760,32304340
17/3/2021,373557,269,0,0,373557,32283543
18/3/2021,390872,1067,0,0,390872,32266228
19/3/2021,401614,4903,0,0,401614,32255486
20/3/2021,409315,11017,0,0,409315,32247785
21/3/2021,419030,16872,0,0,419030,32238070
22/3/2021,428748,31449,0,0,428748,32228352
23/3/2021,437051,52314,0,0,437051,32220049
24/3/2021,443342,75145,0,0,443342,32213758
25/3/2021,449778,94514,0,0,449778,32207322
26/3/2021,453717,107331,0,0,453717,32203383
27/3/2021,455420,121780,0,0,455420,32201680
28/3/2021,459104,134719,0,0,459104,32197996
29/3/2021,466969,162094,0,0,466969,32190131
30/3/2021,478499,191517,0,0,478499,32178601
31/3/2021,488447,219040,0,0,488447,32168653
1/4/2021,504358,245602,0,0,504358,32152742
2/4/2021,511929,268512,0,0,511929,32145171
3/4/2021,514605,283264,0,0,514605,32142495
4/4/2021,520636,292437,0,0,520636,32136464
5/4/2021,529841,311936,0,0,529841,32127259
6/4/2021,540871,333630,0,0,540871,32116229
7/4/2021,553596,351958,0,0,553596,32103504
8/4/2021,565691,366769,0,0,565691,32091409
9/4/2021,572919,381165,0,0,572919,32084181
10/4/2021,578593,391239,0,0,578593,32078507
11/4/2021,591070,401959,0,0,591070,32066030
12/4/2021,616442,415920,0,0,616442,32040658
