Date,Cases Unvax,Cases Vax,Total Unvax,Total Vax,Cases Unvax 10000,Cases Vax 10000
24/2/2021,3545,0,32657034,66,1.085524178,0
25/2/2021,1924,0,32655884,1216,0.589174067,0
26/2/2021,2253,0,32651775,5325,0.69000843,0
27/2/2021,2364,0,32645054,12046,0.724152578,0
28/2/2021,2437,0,32638335,18765,0.74666799,0
1/3/2021,1828,0,32622938,34162,0.560341929,0
2/3/2021,1555,0,32601268,55832,0.476975313,0
3/3/2021,1744,1,32578582,78518,0.535321028,0.127359332
4/3/2021,2062,1,32559073,98027,0.633310414,0.102012711
5/3/2021,2151,3,32544701,112399,0.660937091,0.266906289
6/3/2021,1678,2,32528855,128245,0.515849697,0.155951499
7/3/2021,1680,3,32516252,140848,0.516664713,0.21299557
8/3/2021,1522,7,32489055,168045,0.468465457,0.416555089
9/3/2021,1277,3,32458987,198113,0.393419548,0.15142873
10/3/2021,1446,2,32430215,226885,0.445880485,0.088150385
11/3/2021,1628,19,32403701,253399,0.502411746,0.749805642
12/3/2021,1570,5,32377579,279521,0.484903457,0.178877437
13/3/2021,1453,17,32360518,296582,0.449003937,0.573197295
14/3/2021,1341,13,32350207,306893,0.414525941,0.423600408
15/3/2021,1192,16,32329815,327285,0.368699914,0.488870556
16/3/2021,1049,14,32304340,352760,0.32472417,0.396870393
17/3/2021,1205,14,32283543,373557,0.373255191,0.374775469
18/3/2021,1200,13,32266228,390872,0.371905883,0.332589697
19/3/2021,1560,16,32255486,401614,0.483638659,0.398392486
20/3/2021,1650,21,32247785,409315,0.511663049,0.513052295
21/3/2021,1312,15,32238070,419030,0.406972254,0.357969596
22/3/2021,1110,6,32228352,428748,0.344417239,0.139942344
23/3/2021,1363,21,32220049,437051,0.423028531,0.480493123
24/3/2021,1251,17,32213758,443342,0.38834339,0.383451151
25/3/2021,1343,17,32207322,449778,0.416985926,0.37796424
26/3/2021,1264,11,32203383,453717,0.392505346,0.242441875
27/3/2021,1187,12,32201680,455420,0.368614308,0.263493039
28/3/2021,1290,12,32197996,459104,0.400646053,0.261378685
29/3/2021,929,12,32190131,466969,0.288597769,0.256976373
30/3/2021,1117,16,32178601,478499,0.347125097,0.334378964
31/3/2021,1462,20,32168653,488447,0.454479707,0.409461006
1/4/2021,1170,8,32152742,504358,0.363888094,0.15861749
2/4/2021,1286,8,32145171,511929,0.40006009,0.15627167
3/4/2021,1629,9,32142495,514605,0.50680571,0.174891422
4/4/2021,1341,8,32136464,520636,0.417282997,0.153658218
5/4/2021,1060,10,32127259,529841,0.329937889,0.188735866
6/4/2021,1289,11,32116229,540871,0.401354717,0.203375666
7/4/2021,1122,17,32103504,553596,0.34949456,0.307083144
8/4/2021,1272,13,32091409,565691,0.396367763,0.229807439
9/4/2021,1821,33,32084181,572919,0.56756942,0.575997654
