Date,Deaths Unvax,Deaths Vax,Total Unvax,Total Vax,Deaths Unvax 10000,Deaths Vax 10000
24/2/2021,5,0,32657034,66,0.001531064,0
25/2/2021,6,0,32655884,1216,0.001837341,0
26/2/2021,3,0,32651775,5325,0.000918786,0
27/2/2021,10,0,32645054,12046,0.003063251,0
28/2/2021,5,0,32638335,18765,0.001531941,0
1/3/2021,4,0,32622938,34162,0.001226131,0
2/3/2021,9,0,32601268,55832,0.002760629,0
3/3/2021,4,0,32578582,78518,0.001227801,0
4/3/2021,3,0,32559073,98027,0.000921402,0
5/3/2021,8,0,32544701,112399,0.002458157,0
6/3/2021,4,0,32528855,128245,0.001229677,0
7/3/2021,5,0,32516252,140848,0.001537693,0
8/3/2021,6,0,32489055,168045,0.001846776,0
9/3/2021,8,0,32458987,198113,0.002464649,0
10/3/2021,7,0,32430215,226885,0.002158481,0
11/3/2021,4,0,32403701,253399,0.001234427,0
12/3/2021,3,0,32377579,279521,0.000926567,0
13/3/2021,3,0,32360518,296582,0.000927056,0
14/3/2021,4,0,32350207,306893,0.001236468,0
15/3/2021,4,0,32329815,327285,0.001237248,0
16/3/2021,3,0,32304340,352760,0.000928668,0
17/3/2021,2,0,32283543,373557,0.000619511,0
18/3/2021,1,0,32266228,390872,0.000309922,0
19/3/2021,1,0,32255486,401614,0.000310025,0
20/3/2021,5,0,32247785,409315,0.001550494,0
21/3/2021,5,0,32238070,419030,0.001550961,0
22/3/2021,2,0,32228352,428748,0.000620572,0
23/3/2021,2,0,32220049,437051,0.000620732,0
24/3/2021,4,0,32213758,443342,0.001241705,0
25/3/2021,2,0,32207322,449778,0.000620977,0
26/3/2021,1,0,32203383,453717,0.000310526,0
27/3/2021,8,0,32201680,455420,0.002484342,0
28/3/2021,3,1,32197996,459104,0.000931735,0.021781557
29/3/2021,4,0,32190131,466969,0.001242617,0
30/3/2021,6,0,32178601,478499,0.001864593,0
31/3/2021,9,0,32168653,488447,0.002797755,0
1/4/2021,3,0,32152742,504358,0.000933046,0
2/4/2021,2,0,32145171,511929,0.000622177,0
3/4/2021,5,0,32142495,514605,0.001555573,0
4/4/2021,6,0,32136464,520636,0.001867038,0
5/4/2021,4,0,32127259,529841,0.001245049,0
6/4/2021,3,0,32116229,540871,0.000934107,0
7/4/2021,2,0,32103504,553596,0.000622985,0
8/4/2021,6,0,32091409,565691,0.001869659,0
9/4/2021,7,0,32084181,572919,0.002181761,0
10/4/2021,3,0,32078507,578593,0.000935206,0
11/4/2021,6,0,32066030,591070,0.001871139,0
12/4/2021,11,0,32040658,616442,0.003433138,0
13/4/2021,5,0,32023846,633254,0.001561337,0
14/4/2021,5,0,32002902,654198,0.001562358,0
15/4/2021,4,0,31984799,672301,0.001250594,0
16/4/2021,6,0,31969173,687927,0.001876808,0
17/4/2021,11,0,31960596,696504,0.003441738,0
18/4/2021,8,0,31954433,702667,0.002503565,0
19/4/2021,10,0,31929760,727340,0.003131874,0
20/4/2021,10,0,31907675,749425,0.003134042,0
21/4/2021,9,0,31891832,765268,0.002822039,0
22/4/2021,6,0,31877435,779665,0.001882209,0
23/4/2021,15,0,31865213,791887,0.004707328,0
24/4/2021,8,0,31857222,799878,0.002511205,0
25/4/2021,21,0,31848107,808993,0.006593798,0
26/4/2021,14,0,31826734,830366,0.004398818,0
27/4/2021,11,0,31803908,853192,0.003458694,0
28/4/2021,14,0,31777434,879666,0.004405642,0
29/4/2021,22,0,31770962,886138,0.006924562,0
30/4/2021,21,0,31753163,903937,0.006613514,0
1/5/2021,16,0,31750231,906869,0.005039333,0
2/5/2021,20,0,31742571,914529,0.006300687,0
3/5/2021,21,2,31718028,939072,0.00662084,0.021297621
4/5/2021,14,0,31687885,969215,0.004418092,0
5/5/2021,30,1,31655740,1001360,0.009476954,0.009986418
6/5/2021,27,1,31618636,1038464,0.008539268,0.009629607
7/5/2021,31,0,31586266,1070834,0.009814392,0
8/5/2021,27,2,31567541,1089559,0.008553089,0.01835605
9/5/2021,21,0,31541605,1115495,0.006657873,0
10/5/2021,34,1,31504852,1152248,0.010791988,0.008678687
11/5/2021,44,0,31474295,1182805,0.013979662,0
12/5/2021,49,1,31463943,1193157,0.015573382,0.008381127
13/5/2021,36,2,31463830,1193270,0.011441709,0.016760666
14/5/2021,44,1,31463769,1193331,0.013984339,0.008379905
15/5/2021,46,2,31453368,1203732,0.014624825,0.016614994
16/5/2021,40,4,31443320,1213780,0.012721303,0.032954901
17/5/2021,48,3,31410792,1246308,0.015281372,0.024071096
18/5/2021,54,4,31364906,1292194,0.017216694,0.030955104
19/5/2021,50,3,31314632,1342468,0.015966977,0.022346901
20/5/2021,44,2,31255273,1401827,0.014077625,0.014267096
21/5/2021,60,1,31212974,1444126,0.019222776,0.006924604
22/5/2021,81,4,31169596,1487504,0.025986862,0.026890684
23/5/2021,65,4,31131521,1525579,0.02087916,0.026219553
24/5/2021,63,3,31061724,1595376,0.020282197,0.018804345
25/5/2021,71,3,30991791,1665309,0.022909292,0.018014675
26/5/2021,84,7,30971233,1685867,0.027121942,0.041521662
27/5/2021,57,6,30912280,1744820,0.018439274,0.034387501
28/5/2021,102,3,30865285,1791815,0.033046836,0.0167428
29/5/2021,74,1,30814123,1842977,0.024014962,0.005426004
30/5/2021,103,6,30775681,1881419,0.033467984,0.031890823
31/5/2021,90,7,30707982,1949118,0.029308341,0.03591368
1/6/2021,86,8,30632435,2024665,0.028074817,0.03951271
2/6/2021,85,2,30535308,2121792,0.027836628,0.009425995
3/6/2021,107,3,30423798,2233302,0.035169836,0.013433024
4/6/2021,80,3,30337286,2319814,0.02637019,0.012932071
5/6/2021,83,7,30265007,2392093,0.027424411,0.029263076
6/6/2021,75,4,30183765,2473335,0.024847795,0.016172496
7/6/2021,81,3,30122894,2534206,0.026889847,0.011838027
8/6/2021,71,2,30014294,2642806,0.023655396,0.007567714
9/6/2021,88,5,29897884,2759216,0.029433521,0.018121089
10/6/2021,61,7,29784015,2873085,0.020480785,0.024364055
11/6/2021,61,5,29687602,2969498,0.020547298,0.016837863
12/6/2021,79,4,29584129,3072971,0.026703507,0.013016719
13/6/2021,67,6,29479078,3178022,0.022727984,0.018879668
14/6/2021,86,5,29330998,3326102,0.029320516,0.015032612
15/6/2021,74,5,29163808,3493292,0.025373916,0.014313146
16/6/2021,76,5,28957403,3699697,0.026245447,0.01351462
17/6/2021,76,5,28772188,3884912,0.026414397,0.012870304
18/6/2021,73,8,28619012,4038088,0.025507519,0.019811356
19/6/2021,63,4,28483055,4174045,0.022118414,0.00958303
20/6/2021,64,11,28360506,4296594,0.022566593,0.025601674
21/6/2021,72,9,28169899,4487201,0.025559197,0.020057047
22/6/2021,78,10,27970613,4686487,0.027886411,0.021337945
23/6/2021,72,12,27785155,4871945,0.025913118,0.02463082
24/6/2021,70,11,27602080,5055020,0.025360408,0.021760547
25/6/2021,66,12,27447173,5209927,0.024046192,0.023032952
26/6/2021,75,13,27304391,5352709,0.027468109,0.024286768
27/6/2021,56,16,27192597,5464503,0.02059384,0.029279881
28/6/2021,79,12,27025998,5631102,0.029231113,0.021310216
29/6/2021,74,17,26867071,5790029,0.02754301,0.02936082
30/6/2021,88,22,26692974,5964126,0.032967477,0.036887215
1/7/2021,85,13,26509213,6147887,0.032064324,0.021145476
2/7/2021,94,13,26338965,6318135,0.03568857,0.020575692
3/7/2021,92,26,26194140,6462960,0.035122359,0.040229245
4/7/2021,94,20,26059038,6598062,0.036071938,0.030311931
5/7/2021,78,22,25852414,6804686,0.030171264,0.032330662
6/7/2021,84,29,25635476,7021624,0.032767092,0.041300987
7/7/2021,123,32,25416591,7240509,0.048393587,0.044195788
8/7/2021,118,40,25186503,7470597,0.04685049,0.053543244
9/7/2021,122,60,24965713,7691387,0.04886702,0.078009337
10/7/2021,111,38,24745906,7911194,0.044855905,0.048033205
11/7/2021,136,48,24551080,8106020,0.055394712,0.05921525
12/7/2021,128,48,24279089,8378011,0.052720265,0.057292835
13/7/2021,145,48,24010559,8646541,0.060390098,0.055513528
14/7/2021,126,53,23715203,8941897,0.053130475,0.059271539
15/7/2021,153,57,23397278,9259822,0.065392222,0.061556259
16/7/2021,153,61,23113322,9543778,0.066195591,0.063915988
17/7/2021,193,71,22848527,9808573,0.08446934,0.072385657
18/7/2021,169,67,22595857,10061243,0.074792472,0.06659217
19/7/2021,157,66,22306922,10350178,0.070381741,0.063767019
20/7/2021,196,82,22098286,10558814,0.088694662,0.077660237
21/7/2021,174,98,21809081,10848019,0.079783279,0.090339075
22/7/2021,166,100,21465578,11191522,0.077333114,0.089353352
23/7/2021,178,111,21150806,11506294,0.084157549,0.096468941
24/7/2021,191,108,20854714,11802386,0.091586008,0.091506921
25/7/2021,204,99,20562105,12094995,0.099211632,0.081852039
26/7/2021,179,90,20219132,12437968,0.088530012,0.072359086
27/7/2021,201,75,19852368,12804732,0.101247368,0.058572097
28/7/2021,207,114,19476699,13180401,0.106280844,0.086492057
29/7/2021,193,96,19113408,13543692,0.100976236,0.070881706
30/7/2021,217,111,18780124,13876976,0.115547693,0.079988608
31/7/2021,194,118,18443304,14213796,0.105187227,0.083017936
1/8/2021,211,115,18132606,14524494,0.116364962,0.079176596
2/8/2021,224,151,17895463,14761637,0.125171391,0.102292178
3/8/2021,206,134,17641272,15015828,0.116771625,0.089239168
4/8/2021,197,110,17398216,15258884,0.11323,0.072089151
5/8/2021,205,108,17162072,15495028,0.119449446,0.069699777
6/8/2021,220,138,16956512,15700588,0.129743664,0.087894797
7/8/2021,213,121,16751360,15905740,0.127153855,0.076073166
8/8/2021,213,107,16578951,16078149,0.128476162,0.066549949
9/8/2021,204,101,16375288,16281812,0.124577962,0.062032408
10/8/2021,250,158,16198060,16459040,0.15433947,0.095995878
11/8/2021,181,107,15952780,16704320,0.113459848,0.064055286
12/8/2021,164,130,15734113,16922987,0.104232123,0.07681859
13/8/2021,159,104,15547967,17109133,0.102264174,0.060786248
14/8/2021,164,112,15366214,17290886,0.106727656,0.064774009
15/8/2021,166,123,15207463,17449637,0.109156932,0.070488572
16/8/2021,177,114,15015992,17641108,0.11787433,0.064621791
17/8/2021,166,87,14816467,17840633,0.112037505,0.048765086
18/8/2021,166,112,14608824,18048276,0.113629954,0.062055789
19/8/2021,160,97,14411454,18245646,0.111022802,0.053163368
20/8/2021,142,91,14237884,18419216,0.099733921,0.049404926
21/8/2021,155,93,14062130,18594970,0.110225122,0.050013525
22/8/2021,189,114,13911514,18745586,0.135858685,0.060814317
23/8/2021,175,98,13748690,18908410,0.127284854,0.051828789
24/8/2021,112,75,13578127,19078973,0.082485604,0.039310292
25/8/2021,159,76,13401237,19255863,0.118645764,0.039468499
26/8/2021,160,110,13226216,19430884,0.120971864,0.056610909
27/8/2021,142,94,13065016,19592084,0.108687199,0.047978561
28/8/2021,146,92,12894435,19762665,0.11322714,0.046552426
29/8/2021,153,92,12731625,19925475,0.120173191,0.046172049
30/8/2021,191,82,12530871,20126229,0.152423563,0.040742854
31/8/2021,162,94,12398833,20258267,0.130657458,0.04640081
1/9/2021,164,104,12193988,20463112,0.134492506,0.050823159
2/9/2021,138,89,11992919,20664181,0.1150679,0.043069696
3/9/2021,135,82,11829694,20827406,0.114119604,0.039371202
4/9/2021,142,86,11673850,20983250,0.121639391,0.040985071
5/9/2021,132,117,11520770,21136330,0.114575675,0.055354927
6/9/2021,155,78,11374233,21282867,0.136272925,0.036649198
7/9/2021,152,76,11226980,21430120,0.135388145,0.035464104
8/9/2021,148,99,11085727,21571373,0.133505002,0.045894158
9/9/2021,112,100,10935957,21721143,0.102414448,0.046038093
10/9/2021,131,83,10809565,21847535,0.121188966,0.037990556
11/9/2021,124,89,10705295,21951805,0.115830531,0.040543363
12/9/2021,135,91,10614776,22042324,0.127181205,0.041284213
13/9/2021,115,66,10532014,22125086,0.109190892,0.029830393
14/9/2021,99,95,10447863,22209237,0.09475622,0.042774995
15/9/2021,123,88,10369386,22287714,0.118618402,0.039483637
16/9/2021,91,91,10299835,22357265,0.08835093,0.040702653
17/9/2021,87,103,10215080,22442020,0.085168202,0.045896047
18/9/2021,97,70,10131399,22525701,0.09574196,0.031075614
19/9/2021,88,71,10061600,22595500,0.087461239,0.031422186
20/9/2021,62,85,9957471,22699629,0.062264806,0.037445546
21/9/2021,87,65,9826089,22831011,0.088539805,0.028470049
22/9/2021,76,68,9694060,22963040,0.078398524,0.029612804
23/9/2021,92,56,9552566,23104534,0.096309201,0.024237667
24/9/2021,74,72,9427738,23229362,0.078491787,0.030995255
25/9/2021,87,72,9305181,23351919,0.093496301,0.030832584
26/9/2021,68,59,9182155,23474945,0.074056689,0.025133179
27/9/2021,67,62,9004862,23652238,0.07440425,0.026213164
